epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.933,1.67489,3.66614,1.36803,0.69811,0.37831,0.51238,0.21254,2.17632,2.1779,1.21042,0.0701508,0.00331658,0.00331658
2,131.16,1.60786,2.54831,1.26012,0.52559,0.36272,0.47604,0.17805,3.12268,2.84067,2.08364,0.0401178,0.006617,0.006617
3,145.913,1.6179,2.26671,1.27426,0.2582,0.73013,0.42634,0.23534,1.90666,2.81364,1.28999,0.0100519,0.00988442,0.00988442
4,160.586,1.64022,2.16225,1.31915,0.37779,0.26984,0.30078,0.12565,2.54716,3.45416,1.87904,0.0098515,0.0098515,0.0098515
5,175.334,1.65309,2.04581,1.28735,0.54584,0.73352,0.71939,0.43595,1.86627,1.8752,1.07652,0.009802,0.009802,0.009802
6,190.051,1.6199,1.93762,1.3156,0.66597,0.68695,0.69564,0.43588,1.72602,1.99018,1.14431,0.0097525,0.0097525,0.0097525
7,204.73,1.55457,1.85943,1.28403,0.62654,0.62081,0.59802,0.36996,1.74126,1.70811,1.02771,0.009703,0.009703,0.009703
8,219.498,1.49429,1.74582,1.24876,0.81241,0.65785,0.82272,0.56665,1.49558,1.60917,0.99022,0.0096535,0.0096535,0.0096535
9,234.248,1.45669,1.72187,1.24251,0.69677,0.68254,0.71733,0.48472,1.53528,1.42368,0.97962,0.009604,0.009604,0.009604
10,248.968,1.39322,1.59159,1.2186,0.72359,0.66697,0.74532,0.48776,1.55241,1.37987,1.00001,0.0095545,0.0095545,0.0095545
11,263.722,1.36479,1.56524,1.20553,0.86496,0.67578,0.80846,0.45904,1.48888,1.53234,1.00527,0.009505,0.009505,0.009505
12,278.44,1.37614,1.53946,1.19893,0.72822,0.64815,0.74809,0.5259,1.51343,1.45143,0.98146,0.0094555,0.0094555,0.0094555
13,293.182,1.32763,1.46628,1.18351,0.6076,0.73986,0.80108,0.43984,1.459,1.51139,0.96738,0.009406,0.009406,0.009406
14,307.882,1.33185,1.46212,1.17451,0.65586,0.81069,0.80134,0.55087,1.23904,1.45075,0.97515,0.0093565,0.0093565,0.0093565
15,322.636,1.31349,1.44014,1.17259,0.83895,0.73777,0.805,0.59971,1.27576,1.21358,0.91641,0.009307,0.009307,0.009307
16,337.42,1.29537,1.40866,1.14922,0.70116,0.85538,0.87364,0.60862,1.37427,1.08717,0.90935,0.0092575,0.0092575,0.0092575
17,352.15,1.28178,1.38857,1.1519,0.7523,0.7432,0.76722,0.51192,1.3745,1.5998,0.94325,0.009208,0.009208,0.009208
18,366.872,1.27768,1.38714,1.16035,0.8788,0.67838,0.85125,0.59195,1.48407,1.17123,0.90395,0.0091585,0.0091585,0.0091585
19,381.561,1.26036,1.36633,1.14896,0.828,0.62698,0.77987,0.53095,1.36077,1.56301,0.91725,0.009109,0.009109,0.009109
20,396.288,1.22844,1.36476,1.1378,0.78197,0.79012,0.867,0.58344,1.45191,1.27924,0.9383,0.0090595,0.0090595,0.0090595
21,411.04,1.21132,1.33584,1.13063,0.68451,0.8238,0.8654,0.62941,1.087,1.12078,0.86165,0.00901,0.00901,0.00901
22,425.745,1.22627,1.33235,1.14087,0.65755,0.81939,0.82716,0.5729,1.2962,1.29293,0.87947,0.0089605,0.0089605,0.0089605
23,440.487,1.20762,1.27851,1.12012,0.70759,0.76369,0.85944,0.61475,1.10931,1.11544,0.86783,0.008911,0.008911,0.008911
24,455.154,1.21266,1.27343,1.13874,0.71452,0.85365,0.88745,0.6871,1.15328,1.03689,0.85177,0.0088615,0.0088615,0.0088615
25,469.909,1.16588,1.25867,1.11732,0.93436,0.68862,0.8917,0.65415,1.14851,0.96309,0.85314,0.008812,0.008812,0.008812
26,484.57,1.18846,1.25357,1.1132,0.74311,0.7725,0.87138,0.66746,1.13304,1.06096,0.85446,0.0087625,0.0087625,0.0087625
27,499.294,1.16884,1.23544,1.10952,0.64178,0.86772,0.86203,0.67674,1.29531,1.11196,0.86994,0.008713,0.008713,0.008713
28,514.017,1.1863,1.24246,1.12519,0.79289,0.78704,0.88311,0.59877,1.31986,1.07474,0.9213,0.0086635,0.0086635,0.0086635
29,528.749,1.14536,1.21798,1.10244,0.65146,0.80335,0.85474,0.5991,1.39148,1.27331,0.89511,0.008614,0.008614,0.008614
30,543.522,1.13003,1.20586,1.10203,0.87377,0.73486,0.90262,0.68533,1.01,0.93848,0.817,0.0085645,0.0085645,0.0085645
31,558.221,1.13557,1.1922,1.10583,0.83661,0.72149,0.88311,0.63109,1.14034,1.09707,0.83926,0.008515,0.008515,0.008515
32,572.967,1.15457,1.17743,1.09424,0.67111,0.85362,0.85619,0.6437,1.28289,1.14294,0.84952,0.0084655,0.0084655,0.0084655
33,587.805,1.12524,1.16561,1.09204,0.73516,0.78894,0.88982,0.6625,1.29991,0.99157,0.90502,0.008416,0.008416,0.008416
34,602.548,1.11329,1.15914,1.09278,0.9355,0.66538,0.83237,0.62044,1.3038,1.78048,0.88827,0.0083665,0.0083665,0.0083665
