epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.528,1.60263,3.17068,1.36961,0.75281,0.70347,0.73334,0.48451,1.46618,1.57663,0.97503,0.0701007,0.00332215,0.00332215
2,151.908,1.4956,1.86235,1.23635,0.71601,0.62351,0.77781,0.46327,1.57532,2.25374,0.98316,0.0400677,0.00662254,0.00662254
3,177.068,1.5666,1.88078,1.25688,0.57966,0.73986,0.69108,0.42029,1.74885,1.9262,1.10194,0.0100018,0.00988993,0.00988993
4,202.127,1.64092,1.9447,1.28912,0.32268,0.63228,0.46574,0.26428,1.81034,2.09941,1.11729,0.0098515,0.0098515,0.0098515
5,227.189,1.65002,1.86483,1.30651,0.79698,0.40473,0.54533,0.32787,1.68657,1.66448,1.12522,0.009802,0.009802,0.009802
6,252.296,1.59864,1.79477,1.30248,0.55065,0.61376,0.67766,0.4281,1.69533,1.93089,1.18457,0.0097525,0.0097525,0.0097525
7,277.405,1.57528,1.74817,1.29041,0.41467,0.80159,0.76797,0.49667,1.43748,1.75772,1.06644,0.009703,0.009703,0.009703
8,302.488,1.5198,1.68466,1.26576,0.67625,0.74956,0.78556,0.46207,1.6568,1.62456,1.04444,0.0096535,0.0096535,0.0096535
9,327.533,1.47282,1.59247,1.23169,0.8842,0.68166,0.82425,0.54348,1.46533,1.34603,1.0358,0.009604,0.009604,0.009604
10,352.611,1.43948,1.54384,1.22551,0.60123,0.6637,0.69971,0.52223,1.52056,1.6904,1.03694,0.0095545,0.0095545,0.0095545
11,377.576,1.4263,1.54337,1.23227,0.67152,0.72531,0.79171,0.51544,1.4076,1.37323,0.99639,0.009505,0.009505,0.009505
12,403.248,1.37512,1.49325,1.21014,0.54158,0.72134,0.79984,0.49574,1.42781,1.5122,0.9533,0.0094555,0.0094555,0.0094555
13,429.186,1.37205,1.49462,1.1993,0.70205,0.74162,0.71334,0.41667,1.65142,1.22817,1.01025,0.009406,0.009406,0.009406
14,454.175,1.33596,1.42063,1.18833,0.81728,0.6667,0.80826,0.57107,1.2964,1.40398,0.92901,0.0093565,0.0093565,0.0093565
15,479.256,1.30159,1.39783,1.16601,0.68671,0.81393,0.84037,0.61507,1.24163,1.32854,0.92734,0.009307,0.009307,0.009307
16,504.671,1.32851,1.38798,1.18679,0.64902,0.81108,0.82859,0.55897,1.21188,1.09335,0.89505,0.0092575,0.0092575,0.0092575
17,530.17,1.30424,1.36701,1.16803,0.72685,0.78571,0.82299,0.53879,1.38458,1.28131,1.00708,0.009208,0.009208,0.009208
18,555.606,1.27964,1.34232,1.16741,0.86464,0.72328,0.8087,0.61385,1.24051,1.21688,0.90429,0.0091585,0.0091585,0.0091585
19,580.693,1.2635,1.35671,1.1598,0.71281,0.70709,0.79272,0.61842,1.08281,1.06474,0.90408,0.009109,0.009109,0.009109
20,605.859,1.24845,1.33819,1.14536,0.7571,0.75661,0.83411,0.57888,1.18813,1.00371,0.88636,0.0090595,0.0090595,0.0090595
21,630.973,1.25492,1.31764,1.15056,0.79444,0.65785,0.78354,0.6169,1.15792,1.04542,0.90485,0.00901,0.00901,0.00901
22,656.08,1.24992,1.31152,1.15012,0.92343,0.74299,0.88056,0.64568,1.20719,1.00742,0.89391,0.0089605,0.0089605,0.0089605
23,681.224,1.21275,1.28572,1.13097,0.89216,0.74941,0.88178,0.65515,1.04858,1.08915,0.87081,0.008911,0.008911,0.008911
24,706.341,1.23176,1.28812,1.12878,0.70909,0.66067,0.78533,0.56561,1.29515,1.15017,0.91587,0.0088615,0.0088615,0.0088615
25,731.421,1.20817,1.24948,1.10998,0.78242,0.77679,0.85291,0.61349,1.22676,1.15205,0.90602,0.008812,0.008812,0.008812
26,756.544,1.21549,1.30115,1.13215,0.68404,0.7116,0.78616,0.6078,1.30909,1.26231,0.90351,0.0087625,0.0087625,0.0087625
27,781.594,1.19603,1.23229,1.11852,0.87163,0.81252,0.88263,0.69836,1.06254,0.92859,0.81844,0.008713,0.008713,0.008713
28,806.661,1.1951,1.23511,1.12367,0.8054,0.68514,0.85684,0.63017,1.19199,0.96323,0.87038,0.0086635,0.0086635,0.0086635
29,831.752,1.16047,1.20416,1.1003,0.79205,0.80052,0.86873,0.66194,1.12598,0.92795,0.8647,0.008614,0.008614,0.008614
30,856.821,1.19807,1.25104,1.12739,0.75967,0.82276,0.9051,0.6417,1.22865,0.97723,0.8661,0.0085645,0.0085645,0.0085645
31,881.93,1.15935,1.19167,1.09967,0.81213,0.75468,0.87742,0.66665,1.25654,0.91389,0.86249,0.008515,0.008515,0.008515
32,907.037,1.14786,1.21113,1.09655,0.668,0.84432,0.83814,0.65682,1.2975,1.0952,0.87248,0.0084655,0.0084655,0.0084655
33,932.09,1.1135,1.17721,1.09179,0.71233,0.80985,0.89258,0.61889,1.17369,0.98449,0.8505,0.008416,0.008416,0.008416
34,957.257,1.14044,1.1848,1.10258,0.70637,0.76808,0.78303,0.58202,1.18442,1.14024,0.86634,0.0083665,0.0083665,0.0083665
35,982.548,1.11572,1.14038,1.09549,0.74763,0.81367,0.88014,0.6289,1.07859,1.0463,0.84208,0.008317,0.008317,0.008317
36,1007.69,1.11441,1.15736,1.08362,0.79791,0.65348,0.81932,0.65443,1.13921,1.43143,0.867,0.0082675,0.0082675,0.0082675
37,1032.84,1.12915,1.16167,1.08655,0.87927,0.63116,0.8376,0.64385,1.05286,0.89751,0.83002,0.008218,0.008218,0.008218
