epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.201,1.60032,2.11116,2.99809,1.33704,0.66963,0.71418,0.73608,0.46202,0.67009,0.70671,0.74409,0.34634,1.56395,1.87955,1.92067,1.06187,0.0701007,0.00332215,0.00332215
2,169.527,1.45485,1.70529,1.81143,1.19942,0.61273,0.55125,0.68699,0.44149,0.63852,0.57495,0.705,0.45165,1.53029,1.6563,1.39274,0.94255,0.0400677,0.00662254,0.00662254
3,203.666,1.56302,1.73165,1.89682,1.25452,0.37712,0.40386,0.29629,0.17218,0.33338,0.37894,0.25864,0.08173,2.27484,2.81519,2.94008,1.31035,0.0100018,0.00988993,0.00988993
4,237.595,1.63858,1.68735,1.90733,1.30458,0.47252,0.66815,0.63536,0.32501,0.4436,0.67366,0.58696,0.26021,1.76627,1.816,2.78495,1.17599,0.0098515,0.0098515,0.0098515
5,271.553,1.58574,1.75507,1.86447,1.28637,0.78249,0.3642,0.436,0.2558,0.78249,0.3642,0.37151,0.19121,1.93452,2.18014,2.05902,1.21856,0.009802,0.009802,0.009802
6,305.41,1.51751,1.72139,1.71868,1.27449,0.5536,0.76631,0.74253,0.44469,0.56217,0.78219,0.771,0.34748,1.62172,1.72611,1.69196,1.07813,0.0097525,0.0097525,0.0097525
7,339.423,1.50699,1.6113,1.66339,1.26063,0.57944,0.77249,0.72609,0.48755,0.56714,0.75661,0.70826,0.39604,1.5478,1.63429,1.4164,0.99968,0.009703,0.009703,0.009703
8,373.365,1.45637,1.52336,1.63044,1.2626,0.75361,0.60229,0.74337,0.53174,0.57819,0.71374,0.73319,0.45952,1.42681,1.58522,1.42508,0.97225,0.0096535,0.0096535,0.0096535
9,407.336,1.42262,1.53569,1.51675,1.22805,0.56627,0.71145,0.73313,0.47468,0.56484,0.6992,0.73838,0.45364,1.41598,1.67185,1.2376,1.02461,0.009604,0.009604,0.009604
10,441.321,1.39158,1.45225,1.47451,1.20884,0.70938,0.7381,0.82125,0.62182,0.70938,0.7381,0.82224,0.471,1.26357,1.52129,1.1021,0.91755,0.0095545,0.0095545,0.0095545
11,475.319,1.3767,1.41148,1.50408,1.22404,0.6997,0.73662,0.85584,0.61191,0.67188,0.72238,0.83672,0.5251,1.26556,1.62552,1.07673,0.99137,0.009505,0.009505,0.009505
12,509.201,1.31647,1.39677,1.42223,1.19208,0.72888,0.73369,0.82661,0.54078,0.71364,0.7298,0.81805,0.50177,1.34264,1.68742,1.32804,0.98681,0.0094555,0.0094555,0.0094555
13,543.091,1.32215,1.37535,1.40948,1.18863,0.68273,0.76886,0.8179,0.54444,0.69031,0.77482,0.82799,0.51604,1.41218,1.39796,1.15825,0.90786,0.009406,0.009406,0.009406
14,576.958,1.28982,1.34375,1.34275,1.1691,0.72564,0.66931,0.77136,0.57105,0.57551,0.85492,0.74887,0.41515,1.52345,2.06299,1.30876,1.0433,0.0093565,0.0093565,0.0093565
15,610.995,1.24652,1.35048,1.30251,1.15244,0.82732,0.73104,0.8803,0.62845,0.76094,0.70614,0.83486,0.56295,1.10712,1.38609,0.99571,0.91144,0.009307,0.009307,0.009307
16,645.024,1.25898,1.38975,1.32729,1.16871,0.77392,0.72222,0.81778,0.5485,0.74122,0.7284,0.8251,0.49541,1.26784,1.40831,1.07559,0.93538,0.0092575,0.0092575,0.0092575
17,678.954,1.26795,1.37733,1.31087,1.17352,0.80931,0.77294,0.87193,0.63195,0.82609,0.73721,0.85406,0.55089,1.26621,1.54572,1.05544,0.95128,0.009208,0.009208,0.009208
18,712.888,1.24054,1.3196,1.3009,1.1542,0.86397,0.75525,0.88011,0.66469,0.86397,0.75525,0.88923,0.5558,1.23681,1.60871,1.02553,0.88768,0.0091585,0.0091585,0.0091585
19,746.956,1.21757,1.28117,1.30261,1.15112,0.71291,0.83532,0.85837,0.65288,0.74256,0.7619,0.83762,0.54175,1.15991,1.44625,1.0903,0.87739,0.009109,0.009109,0.009109
20,780.913,1.1978,1.26404,1.24339,1.1285,0.88534,0.77025,0.86247,0.63278,0.86628,0.75038,0.82504,0.54451,1.15801,1.3833,0.98684,0.84302,0.0090595,0.0090595,0.0090595
21,814.899,1.18918,1.24709,1.25597,1.14099,0.72604,0.77787,0.85042,0.64058,0.74229,0.79374,0.88411,0.54462,1.07958,1.47354,0.95569,0.88827,0.00901,0.00901,0.00901
22,848.852,1.20202,1.25439,1.23776,1.13589,0.80268,0.72801,0.82544,0.62983,0.71943,0.7107,0.80609,0.50396,1.26422,1.79955,1.05613,0.91304,0.0089605,0.0089605,0.0089605
23,882.822,1.16797,1.2404,1.2011,1.11331,0.70879,0.8491,0.86741,0.64529,0.72117,0.83157,0.8567,0.51381,1.08187,1.62833,1.03261,0.88883,0.008911,0.008911,0.008911
24,916.788,1.16865,1.25176,1.21404,1.11056,0.80479,0.69358,0.87795,0.62521,0.78544,0.67489,0.85157,0.5531,1.26084,1.46181,1.06393,0.91665,0.0088615,0.0088615,0.0088615
25,950.768,1.14726,1.22968,1.16147,1.1101,0.72175,0.78219,0.84067,0.65517,0.67728,0.75309,0.79503,0.51254,1.04669,1.31623,0.99839,0.84254,0.008812,0.008812,0.008812
26,984.805,1.16345,1.24472,1.23312,1.11597,0.8114,0.73699,0.85791,0.61878,0.79953,0.71993,0.8435,0.53709,1.14384,1.57015,1.01828,0.86354,0.0087625,0.0087625,0.0087625
27,1018.81,1.14833,1.19619,1.1579,1.11694,0.80329,0.79453,0.87285,0.68216,0.79562,0.78836,0.86761,0.55437,1.07708,1.3485,0.93319,0.86814,0.008713,0.008713,0.008713
28,1052.85,1.15686,1.21989,1.16962,1.12264,0.77187,0.81834,0.87173,0.64573,0.72702,0.78286,0.82187,0.51833,1.10103,1.49392,0.92124,0.84728,0.0086635,0.0086635,0.0086635
29,1086.92,1.12549,1.19756,1.1162,1.10228,0.91432,0.76199,0.86326,0.63936,0.89148,0.74871,0.85002,0.56798,1.34077,1.44825,0.96341,0.8984,0.008614,0.008614,0.008614
30,1120.86,1.14431,1.23818,1.20115,1.11472,0.92567,0.72134,0.9043,0.68639,0.885,0.70861,0.86621,0.52624,1.09258,1.54009,0.93306,0.8217,0.0085645,0.0085645,0.0085645
31,1154.85,1.09637,1.15275,1.1174,1.08626,0.65012,0.82892,0.87461,0.68868,0.66574,0.82804,0.88033,0.5706,1.092,1.37523,0.9667,0.83109,0.008515,0.008515,0.008515
32,1188.88,1.08688,1.19639,1.13098,1.08021,0.77259,0.90625,0.90981,0.67117,0.75786,0.88951,0.88376,0.56403,1.19105,1.48926,0.9218,0.86558,0.0084655,0.0084655,0.0084655
33,1222.86,1.06806,1.1524,1.1255,1.07933,0.768,0.87811,0.926,0.67763,0.69896,0.82757,0.84851,0.59314,1.04156,1.35732,0.91544,0.81451,0.008416,0.008416,0.008416
34,1256.84,1.07745,1.15982,1.11368,1.08655,0.91196,0.75573,0.87332,0.67552,0.91196,0.75573,0.88272,0.57682,1.06607,1.28801,0.9053,0.83943,0.0083665,0.0083665,0.0083665
35,1290.85,1.07216,1.16712,1.09329,1.07721,0.6887,0.79894,0.87158,0.66143,0.66373,0.7769,0.84191,0.5305,1.10156,1.58809,0.92874,0.85396,0.008317,0.008317,0.008317
36,1324.83,1.0797,1.14979,1.09268,1.07444,0.8199,0.78042,0.88859,0.68558,0.81301,0.76796,0.87544,0.53161,1.11603,1.42682,0.97767,0.85757,0.0082675,0.0082675,0.0082675
37,1358.82,1.05852,1.18705,1.09271,1.08081,0.94945,0.71638,0.90207,0.70678,0.92456,0.70093,0.85709,0.56375,1.05895,1.26574,0.88519,0.83631,0.008218,0.008218,0.008218
38,1392.78,1.03672,1.14977,1.071,1.0674,0.82962,0.79832,0.87566,0.66713,0.78402,0.76074,0.82733,0.53486,1.03626,1.40327,0.89119,0.83751,0.0081685,0.0081685,0.0081685
