epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,709.425,1.10264,1.15157,1.06976,0.74422,0.81205,0.90188,0.66018,1.16,0.90847,0.83395,0.007921,0.007921,0.007921
44,725.867,1.11999,1.19088,1.0992,0.74896,0.84056,0.88032,0.68633,1.00662,0.93023,0.81181,0.0078715,0.0078715,0.0078715
45,742.272,1.09885,1.17402,1.06639,0.73257,0.9127,0.88483,0.67896,1.19141,0.89875,0.8212,0.007822,0.007822,0.007822
46,758.642,1.07768,1.08218,1.06922,0.86098,0.78811,0.89668,0.70887,1.12769,0.97736,0.84457,0.0077725,0.0077725,0.0077725
47,775.024,1.08228,1.10006,1.07279,0.81772,0.80916,0.89158,0.67912,0.97312,0.93869,0.82973,0.007723,0.007723,0.007723
48,791.395,1.06746,1.09426,1.0695,0.81313,0.84431,0.9186,0.74736,0.94945,0.86161,0.80527,0.0076735,0.0076735,0.0076735
49,807.778,1.07794,1.1329,1.06896,0.82638,0.73486,0.90049,0.7229,0.97669,0.88915,0.80237,0.007624,0.007624,0.007624
50,824.253,1.0609,1.10093,1.06978,0.80274,0.79453,0.92031,0.72484,0.91263,0.89186,0.79671,0.0075745,0.0075745,0.0075745
51,840.687,1.07442,1.0987,1.0647,0.78957,0.86769,0.90546,0.72288,1.0667,0.89663,0.80327,0.007525,0.007525,0.007525
52,857.047,1.04784,1.07724,1.05842,0.78525,0.85601,0.91333,0.71088,1.04683,0.86825,0.81198,0.0074755,0.0074755,0.0074755
53,873.448,1.04706,1.09552,1.05383,0.83829,0.85667,0.91696,0.73105,0.95498,0.85098,0.79982,0.007426,0.007426,0.007426
54,889.981,1.0545,1.091,1.06371,0.92174,0.76984,0.91861,0.71866,1.05974,0.87338,0.80472,0.0073765,0.0073765,0.0073765
55,906.338,1.03848,1.07434,1.04596,0.69554,0.93641,0.87393,0.69134,1.0185,0.89523,0.81365,0.007327,0.007327,0.007327
56,922.693,1.05166,1.05585,1.05698,0.7874,0.79453,0.90657,0.69286,1.09967,0.86285,0.81758,0.0072775,0.0072775,0.0072775
57,939.065,1.01914,1.03655,1.05261,0.70287,0.91182,0.88907,0.68447,1.03965,0.8616,0.7985,0.007228,0.007228,0.007228
58,955.399,1.04995,1.09408,1.0611,0.69446,0.8933,0.88419,0.67228,1.1076,0.85697,0.79914,0.0071785,0.0071785,0.0071785
