epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1136.73,1.14608,1.28552,1.18788,1.10172,0.83329,0.75877,0.88816,0.61313,0.81339,0.78089,0.85654,0.54374,1.26521,1.53069,0.96963,0.8427,0.0085645,0.0085645,0.0085645
31,1171.2,1.13276,1.17839,1.14206,1.09107,0.79072,0.76827,0.86479,0.68522,0.77433,0.75282,0.84692,0.55877,1.02068,1.42548,0.90332,0.82505,0.008515,0.008515,0.008515
32,1205.69,1.11102,1.21415,1.12881,1.07756,0.89738,0.75309,0.87568,0.68487,0.89738,0.75309,0.87568,0.576,1.01964,1.39344,0.8828,0.8205,0.0084655,0.0084655,0.0084655
33,1240.24,1.10819,1.17853,1.11741,1.07944,0.74667,0.8942,0.9165,0.69626,0.71824,0.86776,0.88483,0.56774,1.11679,1.53264,0.85302,0.80137,0.008416,0.008416,0.008416
34,1274.83,1.09306,1.17224,1.09972,1.0837,0.80687,0.78826,0.86718,0.67776,0.7972,0.78456,0.86951,0.57456,1.1093,1.30931,0.91299,0.81692,0.0083665,0.0083665,0.0083665
35,1309.38,1.09885,1.17379,1.08276,1.07681,0.71929,0.89208,0.9089,0.65435,0.68032,0.89091,0.8616,0.54179,1.16625,1.68741,0.87222,0.86655,0.008317,0.008317,0.008317
36,1343.86,1.10508,1.16634,1.10067,1.06814,0.69655,0.90142,0.87873,0.67234,0.79128,0.70901,0.84245,0.54798,1.05268,1.34079,0.91828,0.8141,0.0082675,0.0082675,0.0082675
37,1378.41,1.08095,1.19168,1.08149,1.06377,0.77743,0.8068,0.87492,0.67866,0.77456,0.79101,0.87483,0.54596,1.09272,1.37882,0.85863,0.86204,0.008218,0.008218,0.008218
38,1412.89,1.05524,1.16896,1.08104,1.05701,0.97744,0.70643,0.91338,0.66486,0.91182,0.67581,0.84998,0.54515,1.06245,1.49519,0.87508,0.79201,0.0081685,0.0081685,0.0081685
39,1447.35,1.08669,1.13565,1.07868,1.08199,0.95802,0.78357,0.91734,0.71901,0.93484,0.75069,0.88662,0.55684,0.93755,1.30585,0.82027,0.79975,0.008119,0.008119,0.008119
40,1481.8,1.06022,1.13024,1.04706,1.06617,0.72505,0.77425,0.89081,0.69827,0.5877,0.91147,0.83933,0.56155,0.99551,1.28147,0.8603,0.78991,0.0080695,0.0080695,0.0080695
41,1516.36,1.0697,1.17571,1.06213,1.0639,0.83827,0.81797,0.88981,0.72787,0.82589,0.8021,0.85929,0.58011,1.00121,1.44139,0.89066,0.80126,0.00802,0.00802,0.00802
42,1550.84,1.05856,1.18398,1.0688,1.05291,0.93508,0.7419,0.91265,0.70911,0.91477,0.72789,0.8903,0.59095,0.92604,1.43875,0.82792,0.7756,0.0079705,0.0079705,0.0079705
43,1585.29,1.04518,1.1498,1.04103,1.04627,0.72461,0.88453,0.89693,0.69511,0.70739,0.86009,0.88006,0.54366,1.04288,1.47779,0.85253,0.81236,0.007921,0.007921,0.007921
44,1619.77,1.06437,1.14068,1.06333,1.07422,0.8149,0.77043,0.88461,0.7216,0.8021,0.7522,0.86827,0.56128,1.0487,1.3595,0.83442,0.81187,0.0078715,0.0078715,0.0078715
45,1654.31,1.05111,1.14959,1.05435,1.04606,0.79239,0.80688,0.90387,0.70928,0.7568,0.81922,0.88514,0.56411,0.97729,1.32671,0.81063,0.79408,0.007822,0.007822,0.007822
46,1688.79,1.01903,1.10863,0.98821,1.04338,0.81806,0.75873,0.90766,0.71385,0.79777,0.7436,0.88264,0.59097,0.9552,1.27184,0.80796,0.79261,0.0077725,0.0077725,0.0077725
47,1723.23,1.02638,1.12008,0.99678,1.04607,0.81635,0.8319,0.92229,0.73708,0.80045,0.8157,0.90101,0.59865,0.93049,1.33081,0.77879,0.80856,0.007723,0.007723,0.007723
48,1757.81,1.02027,1.12216,0.987,1.04132,0.86019,0.82368,0.91185,0.70205,0.84297,0.7804,0.88083,0.59151,0.92961,1.26757,0.74802,0.78562,0.0076735,0.0076735,0.0076735
49,1792.33,1.02508,1.12457,1.02389,1.04387,0.7688,0.86142,0.85693,0.67042,0.76393,0.84488,0.82949,0.53688,0.90712,1.2758,0.78059,0.78696,0.007624,0.007624,0.007624
50,1826.83,1.00198,1.13261,1.00425,1.03444,0.82413,0.77285,0.90524,0.71588,0.80309,0.75779,0.87192,0.55269,0.92211,1.32882,0.79959,0.78271,0.0075745,0.0075745,0.0075745
51,1861.31,1.00454,1.11419,1.00305,1.03323,0.8166,0.81041,0.924,0.71971,0.78688,0.77866,0.87891,0.55582,1.02362,1.31312,0.84215,0.79531,0.007525,0.007525,0.007525
52,1895.74,0.99836,1.10743,0.96761,1.03741,0.75628,0.87982,0.92094,0.72158,0.68186,0.81979,0.84552,0.50497,1.00713,1.44675,0.81817,0.80461,0.0074755,0.0074755,0.0074755
53,1930.2,1.00651,1.06027,0.99888,1.03024,0.80283,0.81658,0.92238,0.70323,0.76785,0.77866,0.86548,0.58083,1.09051,1.23907,0.77444,0.79771,0.007426,0.007426,0.007426
54,1964.67,0.99103,1.0808,0.99402,1.03401,0.90937,0.76984,0.91888,0.74163,0.90937,0.76984,0.91771,0.59579,0.98395,1.46902,0.81187,0.77128,0.0073765,0.0073765,0.0073765
55,1999.17,0.99041,1.07015,0.96555,1.02807,0.80782,0.81455,0.90212,0.70531,0.7008,0.90406,0.8569,0.58211,1.01759,1.26707,0.79011,0.77672,0.007327,0.007327,0.007327
56,2033.62,0.99196,1.04842,0.95265,1.03337,0.90461,0.72586,0.90601,0.7062,0.88256,0.70999,0.8701,0.60672,0.97276,1.40779,0.76302,0.79782,0.0072775,0.0072775,0.0072775
