epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.317,1.46594,2.02473,3.03368,1.31577,0.59985,0.73898,0.68799,0.39548,0.61917,0.76613,0.7051,0.35227,1.817,1.82408,1.53963,1.13452,0.0701007,0.00332215,0.00332215
2,239.666,1.42897,1.67544,1.83803,1.21402,0.68337,0.61508,0.73236,0.40293,0.55709,0.60098,0.65184,0.38066,1.69141,1.58239,1.58504,1.0328,0.0400677,0.00662254,0.00662254
3,308.626,1.57307,1.82561,1.95823,1.2989,0.2219,0.54409,0.38149,0.19246,0.25814,0.40564,0.33325,0.16337,2.5227,2.88391,5.17688,1.66763,0.0100018,0.00988993,0.00988993
4,377.379,1.69187,1.79782,1.97465,1.37239,0.85339,0.19656,0.27831,0.14861,0.85339,0.19656,0.27227,0.07091,2.78011,3.8892,6.97115,1.65741,0.0098515,0.0098515,0.0098515
5,446.132,1.63122,1.84313,1.88713,1.36559,0.39217,0.57143,0.48552,0.32575,0.40515,0.60935,0.52741,0.27259,2.0073,2.00629,2.99105,1.34828,0.009802,0.009802,0.009802
6,514.864,1.55277,1.74121,1.71989,1.32474,0.7422,0.55435,0.64884,0.39989,0.34284,0.28031,0.31347,0.11973,1.97259,3.19162,1.91712,1.3731,0.0097525,0.0097525,0.0097525
7,583.595,1.53182,1.62044,1.67161,1.32025,0.70311,0.66667,0.6639,0.36974,0.69776,0.65697,0.68314,0.38651,1.77681,2.57555,1.79177,1.18057,0.009703,0.009703,0.009703
8,652.298,1.45069,1.50502,1.59957,1.29285,0.66822,0.74241,0.76656,0.517,0.67051,0.74188,0.75087,0.44906,1.80706,1.73606,1.84782,1.17907,0.0096535,0.0096535,0.0096535
9,721.097,1.4377,1.55285,1.55301,1.27366,0.81703,0.71848,0.79044,0.53299,0.79668,0.70261,0.76171,0.44584,1.5769,1.56039,1.83713,1.05211,0.009604,0.009604,0.009604
10,789.886,1.39374,1.47799,1.46404,1.24162,0.72967,0.77612,0.8459,0.57498,0.75204,0.79816,0.89295,0.43948,1.3199,1.48735,1.19799,1.02907,0.0095545,0.0095545,0.0095545
11,858.699,1.37928,1.44008,1.47505,1.26326,0.78788,0.67813,0.80757,0.56896,0.7564,0.65608,0.76427,0.39158,1.43893,1.66066,1.28878,1.08456,0.009505,0.009505,0.009505
12,927.415,1.30964,1.40232,1.41425,1.23464,0.72616,0.69793,0.77699,0.56237,0.73304,0.7041,0.78553,0.46546,1.30839,1.58521,1.18923,1.01627,0.0094555,0.0094555,0.0094555
