epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,713.148,1.10635,1.22242,1.16645,1.0798,0.63558,0.82619,0.83234,0.67724,0.64841,0.84004,0.87355,0.53342,1.07207,1.54813,1.02093,0.84009,0.0085645,0.0085645,0.0085645
31,733.523,1.12958,1.20618,1.13933,1.09258,0.94575,0.78119,0.91658,0.72616,0.90046,0.73658,0.88527,0.57409,1.10153,1.46917,0.94455,0.84176,0.008515,0.008515,0.008515
32,753.909,1.11553,1.21942,1.11888,1.07359,0.74156,0.89909,0.90888,0.65457,0.75118,0.89835,0.91004,0.57631,1.21337,1.41878,1.00266,0.83437,0.0084655,0.0084655,0.0084655
33,774.307,1.10482,1.18839,1.11523,1.07757,0.79709,0.79754,0.88282,0.68858,0.79709,0.79754,0.89714,0.57833,1.21759,1.60783,1.07359,0.85771,0.008416,0.008416,0.008416
34,794.661,1.11868,1.22364,1.1519,1.09531,0.77401,0.84656,0.88307,0.6739,0.77401,0.84656,0.89394,0.58615,1.06291,1.36932,0.90674,0.79896,0.0083665,0.0083665,0.0083665
35,815.02,1.11712,1.22609,1.12813,1.07614,0.83987,0.80055,0.91177,0.72609,0.80134,0.76909,0.87704,0.58995,1.15082,1.45971,0.98644,0.82796,0.008317,0.008317,0.008317
36,835.413,1.09206,1.15139,1.10509,1.07792,0.81997,0.79994,0.9184,0.68017,0.77458,0.76219,0.8573,0.56116,1.1744,1.32296,0.93611,0.81212,0.0082675,0.0082675,0.0082675
37,855.662,1.08191,1.17632,1.10121,1.06843,0.82801,0.77066,0.91155,0.71336,0.82801,0.77066,0.91332,0.57141,1.21806,1.58612,0.91374,0.85494,0.008218,0.008218,0.008218
38,875.92,1.09246,1.15872,1.10591,1.07846,0.78839,0.80446,0.90961,0.66317,0.72673,0.79894,0.85809,0.52906,1.25419,1.67731,1.00728,0.84518,0.0081685,0.0081685,0.0081685
39,896.15,1.0717,1.17797,1.07681,1.05336,0.89082,0.77815,0.9038,0.72645,0.86825,0.74427,0.87677,0.54743,1.10782,1.46926,0.88622,0.81672,0.008119,0.008119,0.008119
40,916.408,1.08755,1.17052,1.10409,1.06832,0.74583,0.91799,0.90951,0.69926,0.71431,0.88624,0.85523,0.52986,1.20161,1.60846,0.81831,0.83925,0.0080695,0.0080695,0.0080695
41,936.727,1.06149,1.15141,1.0499,1.06607,0.87204,0.77128,0.91737,0.75199,0.84448,0.74442,0.88588,0.58803,1.16624,1.40497,0.86724,0.80201,0.00802,0.00802,0.00802
42,957.064,1.06485,1.14955,1.05036,1.06383,0.87516,0.7467,0.89515,0.73006,0.84927,0.71228,0.86629,0.58441,1.08545,1.56607,0.9271,0.78403,0.0079705,0.0079705,0.0079705
43,977.367,1.0347,1.18874,1.04728,1.05342,0.87341,0.78487,0.91253,0.70027,0.807,0.72801,0.85411,0.56155,1.09991,1.46793,0.84026,0.80702,0.007921,0.007921,0.007921
44,997.717,1.03123,1.1484,1.03531,1.05661,0.77518,0.85645,0.90126,0.71825,0.75884,0.84626,0.88271,0.58216,0.99728,1.5228,0.83986,0.82589,0.0078715,0.0078715,0.0078715
45,1018.08,1.02572,1.13651,1.03028,1.04247,0.82427,0.84808,0.90579,0.71274,0.78394,0.80985,0.8594,0.54739,1.08604,1.47595,0.79505,0.80854,0.007822,0.007822,0.007822
46,1038.41,1.03737,1.14709,1.02498,1.04949,0.7812,0.86596,0.9164,0.73544,0.74971,0.83432,0.88948,0.59314,1.07684,1.52462,0.84795,0.80579,0.0077725,0.0077725,0.0077725
47,1058.79,1.02361,1.08905,1.02301,1.04478,0.80125,0.8574,0.92239,0.70625,0.71598,0.88472,0.90256,0.59052,1.20594,1.67298,0.82057,0.83233,0.007723,0.007723,0.007723
48,1079.13,1.02885,1.14271,1.02223,1.0411,0.83317,0.83806,0.92095,0.71936,0.78164,0.80139,0.88063,0.59955,1.14048,1.51615,0.86527,0.84596,0.0076735,0.0076735,0.0076735
49,1099.48,1.00926,1.13367,0.99929,1.04071,0.798,0.83643,0.92798,0.71876,0.76592,0.80477,0.89166,0.55924,1.1577,1.54781,0.8542,0.80514,0.007624,0.007624,0.007624
50,1119.83,1.01405,1.12627,0.99465,1.03441,0.836,0.81211,0.9206,0.74391,0.81752,0.79631,0.90545,0.57355,0.93099,1.30784,0.80864,0.76174,0.0075745,0.0075745,0.0075745
51,1140.24,1.03504,1.14024,1.03209,1.04461,0.80762,0.80385,0.90526,0.73099,0.78531,0.77431,0.88548,0.58298,1.07391,1.46126,0.89554,0.80441,0.007525,0.007525,0.007525
