epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.267,1.52342,2.83984,1.34462,0.75342,0.6798,0.73399,0.44411,1.57322,1.73343,0.96496,0.0701007,0.00332215,0.00332215
2,194.719,1.40289,1.76776,1.21022,0.61804,0.6983,0.73622,0.4791,1.53892,1.35058,1.01012,0.0400677,0.00662254,0.00662254
3,240.972,1.53031,1.85683,1.26365,0.69884,0.4894,0.58578,0.32255,1.94801,2.26346,1.28314,0.0100018,0.00988993,0.00988993
4,287.022,1.60555,1.97294,1.30834,0.37326,0.60571,0.61051,0.34075,1.81847,2.71468,1.19719,0.0098515,0.0098515,0.0098515
5,333.029,1.61297,1.84534,1.31611,0.4797,0.7362,0.6732,0.42849,1.75992,1.68563,1.1263,0.009802,0.009802,0.009802
6,379.158,1.57451,1.80923,1.323,0.77502,0.58637,0.6515,0.45001,1.87282,2.50286,1.17777,0.0097525,0.0097525,0.0097525
7,425.162,1.52916,1.71303,1.29892,0.80138,0.71782,0.77782,0.5422,1.50283,1.77125,1.07718,0.009703,0.009703,0.009703
8,471.343,1.46453,1.66969,1.27852,0.53621,0.68959,0.64385,0.40427,1.67733,1.94418,1.17542,0.0096535,0.0096535,0.0096535
9,517.427,1.43319,1.5893,1.26156,0.63242,0.80688,0.7044,0.43192,1.51877,1.45106,1.06901,0.009604,0.009604,0.009604
10,563.517,1.42165,1.53271,1.25365,0.79002,0.74709,0.76357,0.483,1.33213,1.25953,1.02993,0.0095545,0.0095545,0.0095545
11,609.541,1.38258,1.52014,1.23617,0.68682,0.53086,0.51276,0.30088,2.00461,2.94361,1.27506,0.009505,0.009505,0.009505
12,655.551,1.34199,1.45954,1.22402,0.77983,0.60246,0.73436,0.54727,1.21476,1.62696,0.97269,0.0094555,0.0094555,0.0094555
13,701.705,1.32032,1.47557,1.22042,0.72244,0.55585,0.68798,0.45865,1.40889,1.84364,1.08753,0.009406,0.009406,0.009406
14,747.698,1.30864,1.41739,1.21078,0.8715,0.58558,0.72917,0.46406,1.54927,1.92224,1.08048,0.0093565,0.0093565,0.0093565
15,793.884,1.26271,1.36279,1.18001,0.75795,0.77628,0.76733,0.53814,1.33488,1.23086,0.95231,0.009307,0.009307,0.009307
16,840.061,1.29674,1.35641,1.19355,0.75554,0.71869,0.84463,0.56705,1.34712,1.13025,0.94258,0.0092575,0.0092575,0.0092575
17,886.96,1.27884,1.34955,1.19158,0.72439,0.69048,0.78625,0.50576,1.60094,1.38933,1.09129,0.009208,0.009208,0.009208
18,933.566,1.25153,1.30913,1.18824,0.76831,0.67988,0.7677,0.54054,1.39726,1.26214,0.98603,0.0091585,0.0091585,0.0091585
19,979.506,1.23503,1.34649,1.18355,0.67298,0.81586,0.84637,0.6183,1.07811,1.16704,0.92811,0.009109,0.009109,0.009109
20,1025.53,1.20177,1.28815,1.15699,0.80723,0.70547,0.87148,0.62548,1.22063,0.96805,0.90313,0.0090595,0.0090595,0.0090595
21,1071.66,1.2011,1.2865,1.15267,0.7,0.78448,0.82902,0.60549,1.15312,1.03082,0.91841,0.00901,0.00901,0.00901
22,1117.7,1.21129,1.28205,1.15659,0.72152,0.79541,0.85546,0.5779,1.4072,1.31069,0.98982,0.0089605,0.0089605,0.0089605
23,1163.73,1.19058,1.24825,1.14824,0.81248,0.82187,0.91287,0.66445,1.23543,1.12571,0.90087,0.008911,0.008911,0.008911
24,1209.77,1.19705,1.25366,1.1454,0.78566,0.72201,0.84323,0.5752,1.36249,1.18136,0.95078,0.0088615,0.0088615,0.0088615
25,1255.77,1.17825,1.22222,1.13257,0.71437,0.8228,0.79504,0.56389,1.24692,1.18033,0.94666,0.008812,0.008812,0.008812
26,1301.88,1.17235,1.26522,1.15582,0.84724,0.73833,0.88052,0.62572,1.27129,1.10492,0.96019,0.0087625,0.0087625,0.0087625
27,1347.96,1.17518,1.21009,1.14618,0.77022,0.89384,0.91262,0.6927,1.15781,0.91761,0.89806,0.008713,0.008713,0.008713
28,1394.12,1.15576,1.19666,1.14584,0.75755,0.77479,0.85955,0.66018,1.16528,1.00465,0.88305,0.0086635,0.0086635,0.0086635
29,1440.3,1.14136,1.16968,1.12962,0.77266,0.83536,0.89318,0.70223,1.0889,1.00399,0.857,0.008614,0.008614,0.008614
30,1486.55,1.16621,1.22403,1.13854,0.90074,0.84503,0.91136,0.66609,1.17846,1.19806,0.88157,0.0085645,0.0085645,0.0085645
31,1532.64,1.12187,1.17233,1.1209,0.78593,0.82275,0.88586,0.63839,1.31126,1.1312,0.94603,0.008515,0.008515,0.008515
32,1578.77,1.11769,1.17756,1.11773,0.76703,0.75247,0.87081,0.67071,1.22222,1.03979,0.90224,0.0084655,0.0084655,0.0084655
33,1624.83,1.08494,1.14649,1.11096,0.75771,0.89929,0.91416,0.66656,1.20292,0.91528,0.91559,0.008416,0.008416,0.008416
34,1670.83,1.09387,1.14348,1.11178,0.84886,0.76292,0.86586,0.67583,1.10634,0.93107,0.88545,0.0083665,0.0083665,0.0083665
35,1716.94,1.07275,1.11555,1.09774,0.76218,0.70899,0.80246,0.57621,1.16679,0.95738,0.91189,0.008317,0.008317,0.008317
36,1762.96,1.09134,1.12309,1.11438,0.77499,0.77407,0.84599,0.6404,1.07827,1.00606,0.87715,0.0082675,0.0082675,0.0082675
37,1808.99,1.09833,1.12446,1.10795,0.9,0.77876,0.88025,0.6822,1.09653,1.00821,0.87059,0.008218,0.008218,0.008218
38,1855.64,1.04532,1.10437,1.08678,0.90405,0.76439,0.88961,0.65084,1.02008,1.00022,0.85052,0.0081685,0.0081685,0.0081685
39,1901.9,1.08803,1.08841,1.11955,0.82972,0.80382,0.92151,0.71016,1.00682,0.85539,0.85625,0.008119,0.008119,0.008119
40,1949.08,1.05929,1.0689,1.10679,0.80761,0.80688,0.91265,0.72145,0.96796,0.8547,0.85931,0.0080695,0.0080695,0.0080695
41,1995.21,1.06599,1.09189,1.09814,0.81809,0.83795,0.90797,0.68058,1.09348,0.9225,0.90756,0.00802,0.00802,0.00802
42,2041.26,1.05922,1.10086,1.09181,0.80419,0.82154,0.90945,0.69577,1.02781,0.92444,0.86393,0.0079705,0.0079705,0.0079705
43,2087.32,1.03788,1.06851,1.08611,0.78027,0.84258,0.91599,0.70015,1.0788,0.96618,0.88545,0.007921,0.007921,0.007921
44,2133.33,1.05267,1.08078,1.11017,0.73951,0.79966,0.86023,0.66989,1.08933,0.87067,0.85793,0.0078715,0.0078715,0.0078715
45,2179.4,1.04876,1.09128,1.08729,0.83491,0.80159,0.88972,0.67625,1.10086,0.93908,0.89631,0.007822,0.007822,0.007822
46,2225.46,1.02209,1.00958,1.0794,0.76794,0.84392,0.91865,0.71417,0.96746,0.852,0.84673,0.0077725,0.0077725,0.0077725
47,2271.49,1.01609,1.02524,1.07972,0.79406,0.84933,0.90357,0.71671,1.00686,0.9654,0.8395,0.007723,0.007723,0.007723
48,2317.49,1.00887,0.99428,1.07331,0.84583,0.77337,0.89913,0.69351,1.06784,0.88865,0.85167,0.0076735,0.0076735,0.0076735
49,2363.51,1.0236,1.03966,1.0813,0.76581,0.80952,0.88326,0.68786,1.00725,0.82667,0.8868,0.007624,0.007624,0.007624
50,2409.55,1.00274,0.9998,1.07908,0.79133,0.87213,0.89955,0.69899,0.96124,0.81884,0.87541,0.0075745,0.0075745,0.0075745
