epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1986.26,1.00248,1.01913,1.08935,0.93958,0.69202,0.87716,0.68574,1.16394,0.91274,0.90278,0.007921,0.007921,0.007921
44,2030,1.00856,1.00333,1.08647,0.9753,0.69155,0.91566,0.69552,1.08147,0.85587,0.8914,0.0078715,0.0078715,0.0078715
45,2073.69,0.99465,0.98928,1.07514,0.88332,0.79992,0.90884,0.71005,1.1449,0.84373,0.87918,0.007822,0.007822,0.007822
46,2117.41,0.99595,1.00061,1.08021,0.72738,0.83466,0.84129,0.6467,0.98987,0.93028,0.8774,0.0077725,0.0077725,0.0077725
47,2161.14,0.99008,0.98314,1.07803,0.80021,0.84154,0.92296,0.68104,1.24984,0.85719,0.89333,0.007723,0.007723,0.007723
48,2204.94,0.99955,0.97454,1.06838,0.80419,0.86699,0.92363,0.7223,1.14494,0.81858,0.85429,0.0076735,0.0076735,0.0076735
49,2248.79,0.97488,0.96591,1.06692,0.83816,0.72872,0.90561,0.72235,1.02404,0.90907,0.84362,0.007624,0.007624,0.007624
50,2292.53,0.98891,0.96824,1.07474,0.84097,0.76541,0.88967,0.71834,0.97514,0.83235,0.85879,0.0075745,0.0075745,0.0075745
51,2336.23,0.9924,0.99954,1.07313,0.78155,0.90538,0.91053,0.71808,1.06218,0.85655,0.85877,0.007525,0.007525,0.007525
52,2379.95,0.98386,0.99994,1.07351,0.79339,0.76833,0.89865,0.72136,1.08089,0.83628,0.86254,0.0074755,0.0074755,0.0074755
53,2423.64,0.9855,0.96088,1.07981,0.79525,0.86341,0.91748,0.70293,1.10338,0.80985,0.87491,0.007426,0.007426,0.007426
54,2467.39,0.9708,0.98177,1.07199,0.78119,0.84723,0.92003,0.7301,1.08059,0.78584,0.87544,0.0073765,0.0073765,0.0073765
55,2511.2,0.98525,0.96512,1.07787,0.8476,0.72519,0.86577,0.71292,1.18272,0.84191,0.88543,0.007327,0.007327,0.007327
56,2554.95,0.95557,0.96872,1.05788,0.78168,0.80688,0.88179,0.70371,1.13472,0.93331,0.87884,0.0072775,0.0072775,0.0072775
57,2598.71,0.97793,0.95867,1.08156,0.69626,0.91534,0.89305,0.67304,1.11276,0.84473,0.8792,0.007228,0.007228,0.007228
58,2642.41,0.94564,0.92378,1.05314,0.80774,0.82521,0.90001,0.71878,1.08041,1.00305,0.87755,0.0071785,0.0071785,0.0071785
59,2686.14,0.94621,0.9324,1.05465,0.71766,0.84264,0.86868,0.70979,1.05237,0.93735,0.88012,0.007129,0.007129,0.007129
60,2729.87,0.97268,0.95845,1.07796,0.77821,0.84963,0.88728,0.73896,0.92933,0.77332,0.84941,0.0070795,0.0070795,0.0070795
61,2773.7,0.94898,0.94233,1.06425,0.72783,0.91446,0.87655,0.73461,1.0106,0.79763,0.86221,0.00703,0.00703,0.00703
62,2817.52,0.95987,0.94203,1.05406,0.83394,0.77595,0.91357,0.70478,1.16254,0.81165,0.88313,0.0069805,0.0069805,0.0069805
63,2861.27,0.92392,0.90289,1.05045,0.7638,0.88049,0.90917,0.71937,1.04904,0.99758,0.88759,0.006931,0.006931,0.006931
64,2905.03,0.92138,0.88379,1.04005,0.78309,0.92162,0.91357,0.74792,1.092,0.84577,0.90205,0.0068815,0.0068815,0.0068815
65,2948.87,0.93245,0.92176,1.04767,0.8742,0.78897,0.88116,0.73697,1.04067,0.88347,0.86281,0.006832,0.006832,0.006832
66,2992.61,0.93809,0.90932,1.04952,0.77668,0.87003,0.92088,0.76345,1.01862,0.76493,0.85885,0.0067825,0.0067825,0.0067825
67,3036.46,0.93879,0.91821,1.05257,0.76262,0.92127,0.92913,0.75893,0.93335,0.7591,0.83874,0.006733,0.006733,0.006733
68,3080.21,0.93995,0.91956,1.06335,0.79989,0.92246,0.93118,0.76336,0.91217,0.72752,0.85932,0.0066835,0.0066835,0.0066835
69,3124.11,0.93292,0.9327,1.04214,0.69421,0.89702,0.89157,0.70299,1.01579,0.81382,0.85766,0.006634,0.006634,0.006634
70,3167.93,0.9396,0.89845,1.05354,0.76523,0.86387,0.92557,0.73792,0.87205,0.76216,0.84424,0.0065845,0.0065845,0.0065845
71,3211.73,0.91347,0.8844,1.04805,0.82395,0.89055,0.92641,0.72205,1.06055,0.85245,0.86656,0.006535,0.006535,0.006535
72,3255.52,0.92884,0.90465,1.0507,0.8359,0.87191,0.93612,0.77091,0.94362,0.75315,0.84572,0.0064855,0.0064855,0.0064855
73,3299.34,0.89664,0.88637,1.0378,0.9016,0.8479,0.92466,0.73031,1.12689,0.92548,0.8938,0.006436,0.006436,0.006436
74,3343.05,0.90875,0.86463,1.03013,0.79024,0.93384,0.92415,0.74582,0.92882,0.77263,0.84055,0.0063865,0.0063865,0.0063865
75,3386.81,0.90389,0.89324,1.04225,0.82113,0.94378,0.93812,0.76802,1.00777,0.7134,0.84764,0.006337,0.006337,0.006337
76,3430.56,0.89871,0.88737,1.03732,0.76398,0.93126,0.93131,0.74713,0.95871,0.77064,0.85678,0.0062875,0.0062875,0.0062875
77,3474.24,0.90977,0.8508,1.04481,0.94254,0.76679,0.92774,0.75593,0.95937,0.73271,0.86564,0.006238,0.006238,0.006238
78,3517.89,0.89173,0.86049,1.03484,0.79571,0.92081,0.92789,0.74861,1.0183,0.77073,0.84716,0.0061885,0.0061885,0.0061885
79,3561.57,0.86937,0.86354,1.03643,0.79976,0.89725,0.9095,0.7273,1.13961,0.88495,0.90019,0.006139,0.006139,0.006139
80,3605.29,0.87236,0.84291,1.02617,0.93986,0.73657,0.92487,0.76068,0.95735,0.73298,0.85399,0.0060895,0.0060895,0.0060895
81,3649.01,0.87189,0.85691,1.0272,0.78501,0.90865,0.92524,0.75349,0.99159,0.73021,0.84733,0.00604,0.00604,0.00604
82,3692.68,0.89694,0.85569,1.03188,0.78745,0.85168,0.93133,0.75357,1.04723,0.77538,0.86609,0.0059905,0.0059905,0.0059905
