epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8348,1.63042,2.19174,3.9695,1.30898,0.65981,0.34039,0.64172,0.3273,0.66188,0.26808,0.58554,0.16559,1.807,1.81625,2.59223,1.10718,0.0701007,0.00332215,0.00332215
2,46.585,1.56243,1.73176,2.58324,1.22453,0.72871,0.66118,0.6659,0.38845,0.71004,0.67372,0.6879,0.39724,1.79235,1.96332,1.73194,1.13998,0.0400677,0.00662254,0.00662254
3,68.8571,1.68402,1.90176,2.3802,1.28761,0.59365,0.39798,0.55574,0.28214,0.69966,0.41385,0.56632,0.26107,2.01153,1.9188,4.19769,1.22842,0.0100018,0.00988993,0.00988993
4,91.0233,1.70295,1.85108,2.32478,1.3128,0.47817,0.43915,0.44022,0.20493,0.47969,0.34921,0.34442,0.11601,1.90509,3.52386,2.57116,1.33328,0.0098515,0.0098515,0.0098515
5,113.18,1.71054,1.82343,2.22524,1.34701,0.50885,0.62522,0.47887,0.271,0.69019,0.44004,0.50621,0.29142,1.56841,1.5383,2.00392,1.05916,0.009802,0.009802,0.009802
6,135.457,1.58719,1.7487,1.98446,1.28433,0.423,0.25622,0.32703,0.15279,0.423,0.25622,0.32576,0.14636,2.83101,3.01991,4.76292,1.91351,0.0097525,0.0097525,0.0097525
7,157.571,1.57405,1.58894,1.87893,1.26865,0.7364,0.43122,0.70592,0.41299,0.7414,0.4656,0.70964,0.36964,1.56736,1.52149,1.99372,1.11287,0.009703,0.009703,0.009703
8,179.677,1.5012,1.53549,1.76903,1.23797,0.54945,0.70598,0.76315,0.54657,0.52874,0.6619,0.74563,0.42848,1.47422,1.59068,1.56302,1.01008,0.0096535,0.0096535,0.0096535
9,201.893,1.48808,1.54574,1.65136,1.23656,0.74205,0.71678,0.8155,0.53069,0.74331,0.70227,0.81053,0.47,1.36554,1.62891,1.30194,0.96329,0.009604,0.009604,0.009604
10,224.123,1.42304,1.48964,1.56953,1.19476,0.7735,0.77126,0.83768,0.59673,0.90327,0.641,0.82945,0.51502,1.44925,1.82943,1.25464,0.95059,0.0095545,0.0095545,0.0095545
11,246.407,1.40844,1.42758,1.56237,1.20066,0.58352,0.72184,0.75254,0.55598,0.56113,0.70631,0.74113,0.46401,1.41541,1.60402,1.58798,0.99078,0.009505,0.009505,0.009505
12,268.742,1.36515,1.38762,1.48991,1.18225,0.55275,0.68757,0.74242,0.49411,0.56694,0.72475,0.78198,0.50441,1.44945,1.46131,1.28841,0.9772,0.0094555,0.0094555,0.0094555
13,290.93,1.34785,1.42045,1.46897,1.17264,0.75055,0.60963,0.72176,0.48394,0.73176,0.59778,0.71324,0.40105,1.28559,1.80622,1.79229,0.97968,0.009406,0.009406,0.009406
14,313.124,1.32769,1.34106,1.42354,1.16293,0.76346,0.75284,0.84721,0.65791,0.75334,0.74339,0.84458,0.5591,1.21459,1.35759,1.07874,0.89745,0.0093565,0.0093565,0.0093565
15,335.321,1.28376,1.36735,1.37604,1.14269,0.76099,0.74202,0.85611,0.63686,0.76099,0.74202,0.85981,0.53944,1.12603,1.31104,1.10715,0.89384,0.009307,0.009307,0.009307
16,357.491,1.30827,1.38047,1.36395,1.1513,0.67622,0.82981,0.85098,0.59886,0.64773,0.80776,0.83932,0.57321,1.23141,1.41515,1.08608,0.87916,0.0092575,0.0092575,0.0092575
17,379.66,1.29021,1.38266,1.35474,1.14756,0.77435,0.78239,0.88815,0.57599,0.75696,0.76677,0.86692,0.52199,1.42286,1.49664,1.09353,0.94404,0.009208,0.009208,0.009208
18,401.83,1.26606,1.34672,1.33951,1.13835,0.75167,0.72869,0.81848,0.61881,0.72718,0.71454,0.78929,0.5004,1.15245,1.4741,1.04202,0.85605,0.0091585,0.0091585,0.0091585
19,424.075,1.26662,1.3051,1.34184,1.13961,0.87882,0.76259,0.87606,0.65634,0.85624,0.74732,0.8636,0.51545,1.23194,1.54018,1.03357,0.86925,0.009109,0.009109,0.009109
20,446.407,1.2459,1.30419,1.32096,1.12943,0.71894,0.84742,0.87708,0.60866,0.69119,0.8148,0.82522,0.55478,1.16391,1.42473,1.00051,0.86437,0.0090595,0.0090595,0.0090595
21,468.696,1.23157,1.2818,1.30092,1.12628,0.76994,0.83356,0.85521,0.69398,0.7261,0.77503,0.82288,0.55231,0.98555,1.37961,0.93458,0.82174,0.00901,0.00901,0.00901
22,490.984,1.22675,1.29098,1.29401,1.12396,0.73826,0.7619,0.86499,0.68861,0.82396,0.65643,0.82825,0.54793,1.15043,1.53157,0.98128,0.85279,0.0089605,0.0089605,0.0089605
23,513.2,1.21986,1.27501,1.26728,1.11083,0.76897,0.82984,0.88214,0.679,0.69733,0.85425,0.87316,0.52616,1.11449,1.52989,1.06563,0.85812,0.008911,0.008911,0.008911
24,535.426,1.23152,1.28352,1.27849,1.11914,0.61508,0.56539,0.67196,0.45617,0.75034,0.50359,0.65202,0.39276,1.57136,2.11265,2.42389,0.97434,0.0088615,0.0088615,0.0088615
25,557.647,1.19454,1.28866,1.22816,1.09661,0.66445,0.83543,0.83091,0.62076,0.6495,0.78539,0.81018,0.51633,1.18687,1.54169,0.98911,0.8492,0.008812,0.008812,0.008812
26,579.844,1.21424,1.2762,1.28496,1.10957,0.73867,0.73458,0.84391,0.63952,0.74767,0.72549,0.83223,0.53325,1.10344,1.51943,0.95017,0.821,0.0087625,0.0087625,0.0087625
27,602.009,1.19523,1.23742,1.23213,1.11236,0.75171,0.75838,0.85287,0.65656,0.7676,0.76303,0.84481,0.53979,1.15366,1.44022,1.37746,0.84644,0.008713,0.008713,0.008713
28,624.189,1.19402,1.24452,1.21769,1.11398,0.63944,0.8793,0.85154,0.66946,0.60666,0.84259,0.8251,0.56343,1.07168,1.32833,0.92702,0.82906,0.0086635,0.0086635,0.0086635
29,646.494,1.17759,1.22192,1.16885,1.09941,0.83673,0.83927,0.86473,0.67829,0.82373,0.82382,0.86398,0.53461,1.15326,1.44994,0.97131,0.84868,0.008614,0.008614,0.008614
30,668.771,1.17843,1.29739,1.23367,1.10739,0.72953,0.8524,0.90261,0.71139,0.80388,0.76128,0.88951,0.58039,1.06403,1.51447,0.9069,0.82735,0.0085645,0.0085645,0.0085645
