epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7972,1.63392,2.1533,3.62158,1.34947,0.93361,0.30291,0.46049,0.29796,0.44715,0.38095,0.4781,0.22071,1.63852,2.0324,2.26223,1.00488,0.0701508,0.00331658,0.00331658
2,140.912,1.52783,1.85039,2.45278,1.21491,0.79032,0.08956,0.08334,0.04017,0.77913,0.06349,0.06918,0.01941,2.95237,3.84471,3.38772,2.37159,0.0401178,0.006617,0.006617
3,160.57,1.60238,1.713,2.20111,1.26678,0.77403,0.59965,0.68153,0.3864,0.77403,0.59965,0.69001,0.31088,1.99273,1.93655,1.82797,1.118,0.0100519,0.00988442,0.00988442
4,180.088,1.60281,1.72773,2.11177,1.29627,0.53411,0.34039,0.26551,0.13879,0.51996,0.32187,0.23887,0.08247,2.03944,2.32563,2.07524,1.36082,0.0098515,0.0098515,0.0098515
5,199.569,1.60553,1.69297,1.99845,1.28185,0.67204,0.6451,0.6919,0.427,0.67228,0.64307,0.70223,0.37684,1.73456,1.78058,1.53019,1.08095,0.009802,0.009802,0.009802
6,219.047,1.53139,1.57478,1.83583,1.26187,0.6469,0.63752,0.64562,0.43414,0.5455,0.77429,0.65392,0.37691,1.49849,1.73339,1.52685,1.01745,0.0097525,0.0097525,0.0097525
7,238.499,1.4985,1.57868,1.77624,1.23416,0.2824,0.37213,0.33677,0.18531,0.27381,0.36596,0.33857,0.11241,2.15055,2.90856,3.85252,1.37641,0.009703,0.009703,0.009703
8,258.032,1.43196,1.53704,1.62704,1.20776,0.69052,0.39975,0.54047,0.25805,0.66303,0.38123,0.50073,0.25237,2.41716,2.76205,2.89108,1.54656,0.0096535,0.0096535,0.0096535
9,277.587,1.42298,1.46374,1.61764,1.20053,0.84167,0.66843,0.7682,0.5398,0.82698,0.66438,0.7769,0.47107,1.53166,1.78963,1.45231,1.00312,0.009604,0.009604,0.009604
10,297.143,1.36624,1.36822,1.50809,1.19084,0.82637,0.66049,0.74968,0.47992,0.79967,0.63845,0.73039,0.42336,1.66269,1.75936,1.94999,1.04477,0.0095545,0.0095545,0.0095545
11,316.736,1.32683,1.34878,1.46779,1.17533,0.91019,0.69683,0.82273,0.5742,0.85798,0.65987,0.78672,0.47689,1.50863,1.77007,1.63236,0.9992,0.009505,0.009505,0.009505
12,336.279,1.33431,1.37888,1.45005,1.16892,0.67644,0.83705,0.78546,0.5583,0.65036,0.81305,0.79078,0.47265,1.40992,1.62238,1.31394,1.00408,0.0094555,0.0094555,0.0094555
13,355.72,1.29077,1.34731,1.40164,1.15678,0.7395,0.79453,0.86686,0.57654,0.71454,0.76279,0.8429,0.48089,1.2759,1.58594,1.09397,0.90343,0.009406,0.009406,0.009406
14,375.232,1.25767,1.32596,1.35381,1.14018,0.76002,0.85012,0.88381,0.65197,0.74663,0.82103,0.85555,0.51586,1.35076,1.79523,1.0518,0.92758,0.0093565,0.0093565,0.0093565
15,394.744,1.27106,1.34755,1.36169,1.1351,0.74927,0.75044,0.86756,0.61002,0.76567,0.66708,0.81449,0.46606,1.29142,1.70994,1.17366,0.90092,0.009307,0.009307,0.009307
16,414.295,1.26066,1.31498,1.35443,1.13093,0.85437,0.73192,0.86135,0.62451,0.85437,0.73192,0.86167,0.49482,1.28533,1.88214,1.20772,0.91179,0.0092575,0.0092575,0.0092575
17,433.806,1.25898,1.31829,1.34457,1.13763,0.72802,0.83976,0.84367,0.59129,0.72802,0.83976,0.8473,0.48213,1.34879,1.54513,1.17557,0.95602,0.009208,0.009208,0.009208
18,453.332,1.2261,1.33224,1.30092,1.12022,0.74685,0.75423,0.84025,0.58003,0.73089,0.73016,0.81558,0.50247,1.33475,1.71351,1.04071,0.88579,0.0091585,0.0091585,0.0091585
19,472.85,1.22441,1.34887,1.29236,1.12865,0.76803,0.74189,0.84854,0.65921,0.68278,0.74678,0.78576,0.50689,1.17682,1.81478,1.13402,0.87939,0.009109,0.009109,0.009109
20,492.341,1.20695,1.24518,1.26339,1.11466,0.75967,0.74691,0.85662,0.64183,0.75741,0.74921,0.85649,0.52706,1.38737,1.67931,1.00562,0.90547,0.0090595,0.0090595,0.0090595
21,511.877,1.18047,1.30809,1.25414,1.11072,0.79788,0.79595,0.87701,0.64633,0.74168,0.76678,0.81095,0.50277,1.166,1.62423,1.04106,0.88225,0.00901,0.00901,0.00901
22,531.435,1.19651,1.23365,1.25517,1.11511,0.71006,0.71494,0.82025,0.5939,0.74035,0.69594,0.81344,0.48734,1.31101,1.43896,1.04062,0.83871,0.0089605,0.0089605,0.0089605
23,551.06,1.16991,1.25161,1.21383,1.10342,0.7226,0.86364,0.89471,0.64131,0.7025,0.84482,0.86702,0.56674,1.2238,1.7008,1.06758,0.8875,0.008911,0.008911,0.008911
24,570.611,1.16066,1.2099,1.22308,1.11405,0.72217,0.82338,0.87491,0.66992,0.72217,0.82338,0.8788,0.5642,1.26292,1.66688,0.96628,0.86674,0.0088615,0.0088615,0.0088615
25,590.153,1.14442,1.22444,1.20121,1.0978,0.8042,0.79281,0.8797,0.61916,0.77981,0.76844,0.85183,0.51386,1.29662,1.98045,1.35666,0.8754,0.008812,0.008812,0.008812
26,609.743,1.14796,1.26184,1.18871,1.08646,0.82383,0.76626,0.89245,0.67653,0.80009,0.75264,0.87912,0.54873,1.22679,1.61005,0.94256,0.84499,0.0087625,0.0087625,0.0087625
27,629.23,1.11474,1.19625,1.18007,1.07332,0.69814,0.84316,0.89418,0.70255,0.67541,0.82306,0.86859,0.56211,1.14751,1.95208,1.16185,0.855,0.008713,0.008713,0.008713
28,648.718,1.14689,1.22338,1.18172,1.09792,0.81941,0.81136,0.92225,0.71003,0.78337,0.7823,0.8772,0.49435,1.12369,1.65532,0.9688,0.83486,0.0086635,0.0086635,0.0086635
29,668.17,1.10941,1.17131,1.14661,1.08316,0.78811,0.81922,0.89481,0.63161,0.76962,0.80335,0.88239,0.55252,1.23581,1.5669,0.99408,0.85464,0.008614,0.008614,0.008614
30,687.663,1.10495,1.20676,1.14838,1.07528,0.87485,0.83655,0.91253,0.72356,0.86867,0.83038,0.90188,0.55279,1.12549,1.82358,0.90109,0.84727,0.0085645,0.0085645,0.0085645
31,707.239,1.09915,1.18129,1.1352,1.08225,0.88214,0.84527,0.90916,0.69163,0.88214,0.84527,0.91615,0.57011,1.26831,1.49394,1.00759,0.83281,0.008515,0.008515,0.008515
32,726.634,1.10016,1.17325,1.1064,1.07291,0.79687,0.84917,0.92657,0.66638,0.75537,0.81773,0.88661,0.58164,1.19981,1.47133,0.90694,0.83682,0.0084655,0.0084655,0.0084655
33,746.113,1.08831,1.18639,1.09687,1.07526,0.73532,0.8088,0.87491,0.67931,0.9107,0.66057,0.85068,0.53995,1.1179,1.72761,0.92162,0.84731,0.008416,0.008416,0.008416
34,765.596,1.09482,1.19632,1.1054,1.07768,0.92688,0.83274,0.92046,0.70927,0.9159,0.83937,0.90125,0.58793,1.07591,1.42148,0.93957,0.82692,0.0083665,0.0083665,0.0083665
35,785.103,1.08748,1.18471,1.10966,1.06619,0.78437,0.80007,0.89284,0.68992,0.74177,0.76215,0.85127,0.56777,1.14226,1.48318,1.05862,0.81186,0.008317,0.008317,0.008317
36,804.64,1.07828,1.13398,1.09616,1.06689,0.75463,0.85136,0.86729,0.64651,0.7484,0.83576,0.85894,0.54738,1.12913,1.71791,0.99353,0.82055,0.0082675,0.0082675,0.0082675
37,824.158,1.05368,1.14169,1.08368,1.05992,0.66435,0.90177,0.88408,0.69851,0.64374,0.88624,0.86553,0.56591,1.12974,1.59771,0.87068,0.79881,0.008218,0.008218,0.008218
38,843.753,1.08873,1.14748,1.09704,1.07837,0.95419,0.77778,0.9078,0.69897,0.90588,0.74603,0.85517,0.56318,1.08554,1.64413,0.9235,0.81856,0.0081685,0.0081685,0.0081685
39,863.285,1.05069,1.15725,1.05684,1.04521,0.89155,0.8076,0.91654,0.69612,0.87361,0.79173,0.89432,0.56497,1.13495,1.6551,0.8817,0.81971,0.008119,0.008119,0.008119
40,882.787,1.05578,1.15442,1.06744,1.05576,0.93749,0.7859,0.93564,0.73994,0.93749,0.7859,0.93564,0.60224,1.10501,1.58002,0.81426,0.8177,0.0080695,0.0080695,0.0080695
41,902.339,1.04907,1.12788,1.04678,1.06054,0.89957,0.80688,0.90543,0.72108,0.88293,0.79101,0.89244,0.55204,1.05899,1.45109,0.8862,0.81155,0.00802,0.00802,0.00802
42,921.892,1.04546,1.1352,1.03064,1.05318,0.81283,0.76837,0.8973,0.70403,0.81068,0.74712,0.86903,0.5725,1.19003,1.55021,0.88599,0.81533,0.0079705,0.0079705,0.0079705
43,941.34,1.00689,1.15416,1.01313,1.04831,0.75167,0.82965,0.8944,0.7049,0.80271,0.79548,0.90028,0.60693,1.11061,1.50587,0.8259,0.8128,0.007921,0.007921,0.007921
44,960.846,1.02497,1.12701,1.04523,1.0532,0.90063,0.7228,0.89456,0.69058,0.89097,0.73059,0.8861,0.55222,1.17157,1.59778,0.84066,0.83115,0.0078715,0.0078715,0.0078715
45,980.344,1.01178,1.10811,1.02718,1.04264,0.81739,0.85702,0.92699,0.70348,0.78048,0.84744,0.90538,0.57102,1.17997,1.49923,0.82152,0.82834,0.007822,0.007822,0.007822
46,999.853,1.01363,1.12051,1.0243,1.04692,0.82309,0.77249,0.89848,0.73903,0.80257,0.75661,0.88549,0.57954,0.99781,1.37564,0.83704,0.80027,0.0077725,0.0077725,0.0077725
47,1019.36,1.03618,1.06798,1.01174,1.05088,0.90035,0.80884,0.93124,0.71195,0.8969,0.73648,0.87346,0.5466,1.10062,1.57466,0.81505,0.81304,0.007723,0.007723,0.007723
48,1038.82,1.0041,1.12442,0.99927,1.03338,0.74962,0.88713,0.92623,0.73953,0.82553,0.76673,0.90918,0.61065,1.06448,1.47381,0.88019,0.80168,0.0076735,0.0076735,0.0076735
49,1058.35,0.99512,1.0931,0.98737,1.03465,0.76253,0.86685,0.92121,0.72661,0.74709,0.85116,0.91506,0.59059,0.99374,1.54315,0.84899,0.80437,0.007624,0.007624,0.007624
50,1077.82,0.99585,1.10819,0.9821,1.03768,0.78596,0.89278,0.92858,0.75072,0.75347,0.86292,0.89281,0.60138,1.03401,1.27927,0.82272,0.79547,0.0075745,0.0075745,0.0075745
51,1097.28,1.02214,1.10958,1.02401,1.04284,0.85628,0.80281,0.91353,0.73436,0.82024,0.76114,0.88604,0.56033,1.00164,1.46823,0.8736,0.7967,0.007525,0.007525,0.007525
52,1116.75,1.00142,1.08168,1.01632,1.04413,0.91159,0.74923,0.90999,0.698,0.87116,0.71628,0.86688,0.5716,1.11901,1.53105,0.80313,0.80323,0.0074755,0.0074755,0.0074755
53,1136.25,0.99927,1.09333,0.98795,1.04094,0.84877,0.83665,0.9266,0.70995,0.81141,0.80523,0.8916,0.57817,1.09786,1.57333,0.77855,0.79596,0.007426,0.007426,0.007426
54,1155.78,0.98865,1.08115,1.00126,1.03929,0.94675,0.7422,0.90259,0.69902,0.92199,0.72727,0.87827,0.58484,1.01975,1.46113,0.7981,0.79836,0.0073765,0.0073765,0.0073765
55,1175.26,0.9893,1.09811,0.98481,1.03384,0.92133,0.80166,0.90684,0.70685,0.91521,0.79302,0.89699,0.59795,1.01218,1.41028,0.81012,0.7986,0.007327,0.007327,0.007327
56,1194.81,0.987,1.08959,0.99397,1.03476,0.79944,0.89947,0.9195,0.7416,0.78041,0.8836,0.90024,0.60049,0.99954,1.41352,0.79985,0.78761,0.0072775,0.0072775,0.0072775
57,1214.34,0.97687,1.05971,0.97668,1.0394,0.76879,0.90728,0.92271,0.72623,0.69537,0.83911,0.85462,0.54966,0.99179,1.46958,0.83879,0.78022,0.007228,0.007228,0.007228
58,1233.93,0.97195,1.0704,0.95108,1.02712,0.78329,0.86107,0.90842,0.74027,0.75274,0.83069,0.87518,0.50821,1.02275,1.5888,0.82261,0.76725,0.0071785,0.0071785,0.0071785
59,1253.47,0.95898,1.0586,0.95754,1.02837,0.77557,0.90564,0.9076,0.76602,0.71563,0.84148,0.86488,0.60169,0.97703,1.568,0.74205,0.78968,0.007129,0.007129,0.007129
60,1272.97,0.97711,1.09348,0.98267,1.03372,0.81937,0.83874,0.91974,0.7451,0.79588,0.82446,0.90363,0.60981,1.01329,1.43318,0.76571,0.77757,0.0070795,0.0070795,0.0070795
