epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8948,1.55672,2.17821,3.16904,1.35087,0.39945,0.56299,0.38152,0.25591,0.42958,0.59547,0.40941,0.17581,1.9182,1.9358,1.71789,1.08867,0.0701508,0.00331658,0.00331658
2,165.602,1.44183,1.80483,1.84968,1.19533,0.54859,0.57055,0.61981,0.38787,0.54696,0.57407,0.60875,0.30641,2.02155,2.10833,1.90099,1.19274,0.0401178,0.006617,0.006617
3,197.801,1.57959,1.70384,1.84343,1.26125,0.80973,0.42061,0.71669,0.40398,0.7636,0.38982,0.57643,0.20724,1.80114,2.21968,1.96301,1.15102,0.0100519,0.00988442,0.00988442
4,229.9,1.63845,1.75993,1.88807,1.30527,0.5824,0.64785,0.68344,0.40943,0.56642,0.65549,0.67151,0.3387,1.88403,2.09665,1.75953,1.26946,0.0098515,0.0098515,0.0098515
5,262.077,1.66992,1.74382,1.86338,1.31891,0.34045,0.47884,0.50013,0.21332,0.51388,0.62014,0.58716,0.21696,2.47349,2.47016,4.37156,1.69089,0.009802,0.009802,0.009802
6,294.181,1.57041,1.62122,1.71146,1.29166,0.4251,0.66843,0.60019,0.35737,0.459,0.73016,0.64323,0.28784,1.93614,1.75138,1.72734,1.15722,0.0097525,0.0097525,0.0097525
7,326.26,1.53068,1.56753,1.65478,1.27018,0.43729,0.79453,0.59261,0.36914,0.42934,0.78836,0.59392,0.32594,1.45653,1.92047,1.36192,0.99454,0.009703,0.009703,0.009703
8,358.369,1.46452,1.58111,1.57519,1.23823,0.58683,0.68,0.75354,0.58463,0.60979,0.70573,0.78214,0.44431,1.42003,2.12191,1.75158,1.00663,0.0096535,0.0096535,0.0096535
9,390.511,1.42293,1.52855,1.53919,1.22008,0.74103,0.82187,0.82391,0.58604,0.73271,0.79452,0.79644,0.48528,1.63608,1.83435,1.53112,1.07438,0.009604,0.009604,0.009604
10,422.669,1.37663,1.39572,1.44423,1.19458,0.7057,0.74608,0.80546,0.55376,0.7057,0.74608,0.8068,0.53852,1.34078,1.41164,1.14924,0.91265,0.0095545,0.0095545,0.0095545
11,454.828,1.3572,1.3936,1.42608,1.19129,0.87278,0.72972,0.82824,0.5816,0.85709,0.72121,0.80871,0.49736,1.38577,1.72367,1.14649,0.99138,0.009505,0.009505,0.009505
12,486.931,1.35905,1.3932,1.40147,1.1862,0.73656,0.72632,0.78153,0.54709,0.72794,0.72015,0.77924,0.44423,1.46031,1.7837,1.31378,0.947,0.0094555,0.0094555,0.0094555
13,518.993,1.31064,1.36212,1.3494,1.16744,0.73308,0.68078,0.7991,0.5219,0.72171,0.67725,0.78243,0.46075,1.39016,1.68751,1.21778,0.97642,0.009406,0.009406,0.009406
14,551.098,1.28634,1.3767,1.31657,1.15612,0.74685,0.72072,0.75492,0.49801,0.72804,0.70485,0.72382,0.46929,1.21309,1.59335,1.11799,0.85358,0.0093565,0.0093565,0.0093565
15,583.229,1.27556,1.38555,1.30781,1.14354,0.81246,0.72744,0.82113,0.59825,0.77871,0.69542,0.78739,0.47778,1.39421,2.01256,1.41074,0.97799,0.009307,0.009307,0.009307
16,615.349,1.25688,1.3226,1.28685,1.13259,0.72621,0.80688,0.87478,0.64398,0.69186,0.76896,0.82099,0.54519,1.13998,1.42265,1.09305,0.85439,0.0092575,0.0092575,0.0092575
17,647.498,1.26034,1.27842,1.28366,1.14595,0.74358,0.79565,0.87072,0.63097,0.71795,0.77098,0.83816,0.53461,1.3032,1.58471,1.22233,0.95981,0.009208,0.009208,0.009208
18,679.603,1.21585,1.35584,1.23017,1.12344,0.71157,0.6841,0.64017,0.45231,0.69585,0.63899,0.61638,0.39315,1.66232,2.04001,2.19729,0.95577,0.0091585,0.0091585,0.0091585
19,711.673,1.22139,1.37427,1.23649,1.11942,0.88964,0.73419,0.86932,0.58002,0.76729,0.78117,0.89128,0.56762,1.32817,1.69779,1.10801,0.90683,0.009109,0.009109,0.009109
20,743.75,1.20205,1.26097,1.21875,1.10827,0.74855,0.7358,0.83479,0.57967,0.73041,0.7263,0.817,0.47669,1.31694,1.38904,0.97541,0.85517,0.0090595,0.0090595,0.0090595
21,775.858,1.18456,1.30377,1.22438,1.113,0.79149,0.83425,0.91477,0.69134,0.75104,0.78569,0.85264,0.53601,1.15142,1.62002,1.11592,0.85974,0.00901,0.00901,0.00901
22,808.053,1.18503,1.22948,1.21336,1.10408,0.851,0.68959,0.81386,0.57208,0.84101,0.67372,0.8317,0.51478,1.47345,1.64117,1.27828,0.86867,0.0089605,0.0089605,0.0089605
23,840.153,1.14832,1.2404,1.13436,1.08677,0.81845,0.79967,0.86168,0.62096,0.7924,0.73518,0.8112,0.50977,1.35276,1.74856,1.14275,0.91532,0.008911,0.008911,0.008911
24,872.254,1.17038,1.24563,1.16411,1.10207,0.7863,0.87238,0.90494,0.70809,0.7863,0.87238,0.90607,0.57883,1.13712,1.51709,0.94899,0.84339,0.0088615,0.0088615,0.0088615
25,904.458,1.15318,1.25304,1.14939,1.09496,0.76576,0.88924,0.90831,0.68284,0.74537,0.88293,0.8894,0.57873,1.24578,1.67401,0.90647,0.84888,0.008812,0.008812,0.008812
26,936.591,1.13504,1.24103,1.13807,1.08441,0.7862,0.79593,0.88656,0.65342,0.73071,0.76014,0.85431,0.5213,1.12933,1.51949,1.026,0.89525,0.0087625,0.0087625,0.0087625
27,968.773,1.12838,1.1885,1.12515,1.08488,0.75847,0.79365,0.89282,0.67261,0.73093,0.7716,0.86315,0.55558,1.23118,1.64412,0.99859,0.82963,0.008713,0.008713,0.008713
28,1000.88,1.13866,1.23191,1.14744,1.09241,0.74023,0.81372,0.87088,0.61523,0.65027,0.85482,0.83026,0.49263,1.25984,1.61119,0.91497,0.85747,0.0086635,0.0086635,0.0086635
29,1033.06,1.0905,1.17762,1.1116,1.07383,0.77231,0.78219,0.85742,0.65772,0.75471,0.76631,0.83494,0.51467,1.20337,1.5917,1.06198,0.82652,0.008614,0.008614,0.008614
30,1065.15,1.07506,1.19937,1.12081,1.07413,0.72131,0.86856,0.89196,0.70652,0.71894,0.868,0.88148,0.56821,1.19353,1.51428,0.89311,0.81983,0.0085645,0.0085645,0.0085645
31,1097.27,1.08324,1.16696,1.08822,1.07646,0.92535,0.77678,0.90972,0.71408,0.92535,0.77678,0.91144,0.6128,1.06695,1.41853,0.85111,0.77751,0.008515,0.008515,0.008515
32,1129.44,1.08542,1.17454,1.06146,1.06303,0.69384,0.86634,0.88347,0.65291,0.68474,0.87417,0.85916,0.57092,1.2205,1.40383,0.91587,0.84426,0.0084655,0.0084655,0.0084655
33,1161.61,1.08061,1.15154,1.06436,1.06579,0.95698,0.68229,0.90089,0.65504,0.92384,0.65217,0.86712,0.57878,1.35016,1.78787,0.93942,0.8677,0.008416,0.008416,0.008416
34,1193.68,1.08049,1.19585,1.07066,1.07445,0.96755,0.71869,0.89381,0.67849,0.94053,0.70282,0.87959,0.58788,1.21056,1.45294,0.91532,0.83724,0.0083665,0.0083665,0.0083665
35,1225.88,1.09584,1.18829,1.07233,1.06856,0.72414,0.78415,0.87539,0.68076,0.70001,0.76301,0.85091,0.56294,1.12908,1.46429,0.96404,0.83701,0.008317,0.008317,0.008317
36,1257.97,1.04738,1.12008,1.04418,1.05362,0.76678,0.834,0.89553,0.69714,0.75581,0.75573,0.848,0.56131,1.18448,1.60063,1.13174,0.84224,0.0082675,0.0082675,0.0082675
