epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.557,1.47007,2.09409,3.27013,1.35997,0.71016,0.65273,0.72863,0.4826,0.7253,0.67795,0.72666,0.39322,1.94963,2.07631,1.67171,1.15334,0.0701508,0.00331658,0.00331658
2,224.45,1.29509,1.64933,1.71802,1.16886,0.66528,0.55732,0.71182,0.51072,0.71693,0.48006,0.67335,0.34816,1.47283,1.5693,1.46919,0.97398,0.0401178,0.006617,0.006617
3,286.087,1.3893,1.57072,1.6945,1.21657,0.61423,0.62169,0.66885,0.43887,0.61107,0.61552,0.65417,0.31512,1.85047,2.1509,1.99872,1.13867,0.0100519,0.00988442,0.00988442
4,347.63,1.4692,1.66368,1.73568,1.28075,0.65024,0.68454,0.60048,0.37166,0.64385,0.68671,0.62212,0.28884,1.95728,2.48834,2.08541,1.2466,0.0098515,0.0098515,0.0098515
5,409.163,1.53079,1.66027,1.73174,1.29391,0.49544,0.64638,0.5256,0.32643,0.512,0.66226,0.56641,0.2893,1.85292,1.75443,1.75248,1.12011,0.009802,0.009802,0.009802
6,470.71,1.45539,1.6,1.62802,1.27827,0.54447,0.7008,0.72788,0.49896,0.50623,0.6846,0.69271,0.29912,1.55112,2.24715,1.77161,1.07973,0.0097525,0.0097525,0.0097525
7,532.225,1.41345,1.57565,1.56222,1.2495,0.78561,0.68156,0.80106,0.57113,0.75038,0.65053,0.75335,0.46206,1.41185,1.77619,1.34688,0.99298,0.009703,0.009703,0.009703
8,593.883,1.34535,1.50902,1.46697,1.2184,0.80287,0.71983,0.82297,0.55715,0.76778,0.73537,0.78003,0.47025,1.43953,1.94212,1.39941,1.05154,0.0096535,0.0096535,0.0096535
9,655.458,1.32583,1.46568,1.48301,1.23171,0.71469,0.77997,0.81335,0.55778,0.83908,0.67936,0.82747,0.48487,1.44501,1.83751,1.30847,1.06217,0.009604,0.009604,0.009604
10,717.147,1.28297,1.36778,1.38076,1.21163,0.71683,0.74179,0.85054,0.57972,0.66153,0.81517,0.85301,0.5618,1.5382,1.34638,1.14011,0.98365,0.0095545,0.0095545,0.0095545
11,778.791,1.2763,1.3263,1.36159,1.22293,0.82075,0.70538,0.80139,0.64528,0.77051,0.71285,0.75928,0.4714,1.28889,1.58848,1.22693,0.97278,0.009505,0.009505,0.009505
12,840.31,1.27128,1.36857,1.34697,1.20154,0.83416,0.7289,0.82028,0.60162,0.81855,0.71684,0.80988,0.50676,1.60419,1.93511,1.35476,1.0171,0.0094555,0.0094555,0.0094555
13,901.841,1.21753,1.32518,1.27542,1.18606,0.79944,0.71221,0.83998,0.63373,0.76507,0.70389,0.83574,0.5341,1.25371,1.37985,1.09154,0.9587,0.009406,0.009406,0.009406
14,963.515,1.2061,1.31547,1.25618,1.18153,0.76575,0.81978,0.86898,0.6101,0.73967,0.79511,0.83997,0.51709,1.35829,1.52937,1.11178,0.95134,0.0093565,0.0093565,0.0093565
15,1025.02,1.1857,1.32854,1.26194,1.15701,0.75631,0.7381,0.82503,0.61149,0.72549,0.70635,0.79928,0.55136,1.47142,2.76078,1.24759,0.97803,0.009307,0.009307,0.009307
16,1086.48,1.18713,1.28022,1.21398,1.15473,0.72189,0.79295,0.82496,0.65786,0.70823,0.7784,0.80952,0.51721,1.30856,1.48886,1.07441,0.9374,0.0092575,0.0092575,0.0092575
17,1148.05,1.1712,1.23552,1.21132,1.15712,0.85613,0.67384,0.87364,0.63333,0.79519,0.63592,0.82023,0.48945,1.43206,2.90055,1.19872,1.04168,0.009208,0.009208,0.009208
18,1209.59,1.16575,1.3053,1.21356,1.15474,0.731,0.78483,0.84295,0.61394,0.67232,0.84744,0.83885,0.5117,1.38192,1.85335,1.1628,0.97363,0.0091585,0.0091585,0.0091585
19,1271.1,1.16802,1.27712,1.20345,1.15851,0.77407,0.63037,0.73637,0.57294,0.77856,0.62865,0.76255,0.397,2.0126,2.91999,2.85368,1.54904,0.009109,0.009109,0.009109
20,1332.64,1.13056,1.2042,1.18028,1.13634,0.89271,0.75802,0.86944,0.64874,0.89271,0.75802,0.868,0.54729,1.27072,1.51968,0.88031,0.95053,0.0090595,0.0090595,0.0090595
21,1394.21,1.11685,1.25377,1.14788,1.13969,0.75538,0.83603,0.88854,0.65104,0.71858,0.79566,0.84855,0.53983,1.23404,1.56672,0.96427,0.93412,0.00901,0.00901,0.00901
22,1455.65,1.11563,1.21393,1.14587,1.13443,0.70462,0.67468,0.77349,0.54768,0.69798,0.66903,0.75871,0.43872,1.3245,1.8553,2.27278,1.00081,0.0089605,0.0089605,0.0089605
23,1517.13,1.10362,1.23423,1.10331,1.12131,0.83037,0.68228,0.88766,0.66096,0.87102,0.67313,0.87118,0.59088,1.24954,1.44151,0.94311,0.93413,0.008911,0.008911,0.008911
24,1578.76,1.11193,1.21428,1.12621,1.12867,0.68566,0.90699,0.89204,0.66073,0.65025,0.89242,0.85283,0.56705,1.20195,1.44752,0.9549,0.91797,0.0088615,0.0088615,0.0088615
25,1640.3,1.09572,1.23452,1.12819,1.13566,0.76579,0.83168,0.90698,0.65664,0.76579,0.83168,0.9108,0.55976,1.28503,1.61127,0.90242,0.94685,0.008812,0.008812,0.008812
26,1701.82,1.088,1.21768,1.08183,1.117,0.81932,0.80071,0.90862,0.69414,0.81932,0.80071,0.90938,0.58211,1.10232,1.48896,0.91035,0.89247,0.0087625,0.0087625,0.0087625
27,1763.49,1.07367,1.16976,1.09214,1.10399,0.64308,0.85501,0.87752,0.66268,0.6138,0.81634,0.83181,0.54386,1.2372,1.63489,0.96315,0.92835,0.008713,0.008713,0.008713
28,1825,1.07977,1.19026,1.08786,1.12141,0.73924,0.87959,0.92078,0.7069,0.72482,0.86328,0.90294,0.55998,1.15306,1.5503,0.90753,0.91871,0.0086635,0.0086635,0.0086635
29,1886.52,1.03704,1.14309,1.06909,1.10563,0.72961,0.72751,0.82016,0.63886,0.62741,0.8015,0.83494,0.54974,1.39862,1.90854,1.15057,0.98383,0.008614,0.008614,0.008614
30,1948.09,1.05675,1.16793,1.07791,1.1085,0.95299,0.67155,0.8965,0.69762,0.95206,0.67207,0.8871,0.55352,1.05732,1.56862,0.887,0.92378,0.0085645,0.0085645,0.0085645
31,2009.59,1.04039,1.13996,1.06281,1.11392,0.84136,0.78425,0.86895,0.70869,0.84136,0.78425,0.88052,0.58232,1.13076,1.63071,1.06216,0.93711,0.008515,0.008515,0.008515
32,2071.23,1.04386,1.15057,1.03728,1.09854,0.94203,0.68755,0.87839,0.66066,0.91143,0.67271,0.83552,0.57011,1.25302,1.57082,1.01781,0.9142,0.0084655,0.0084655,0.0084655
33,2132.75,1.02108,1.14139,1.01683,1.0947,0.80005,0.84744,0.91641,0.68359,0.75295,0.79589,0.86875,0.48873,1.22847,1.78825,0.90264,0.92701,0.008416,0.008416,0.008416
34,2194.21,1.03396,1.13671,1.02299,1.10386,0.78994,0.84177,0.92399,0.71994,0.77303,0.82639,0.90966,0.569,1.04586,1.33709,0.87577,0.88289,0.0083665,0.0083665,0.0083665
35,2255.85,1.03874,1.13872,1.02277,1.09666,0.84362,0.7377,0.89599,0.68421,0.84362,0.7377,0.89654,0.5869,1.10622,1.39031,0.94577,0.93697,0.008317,0.008317,0.008317
36,2317.36,1.00563,1.08247,1.00684,1.09905,0.83166,0.78677,0.89691,0.72449,0.81703,0.75556,0.85768,0.56716,1.10944,1.42431,0.88191,0.88584,0.0082675,0.0082675,0.0082675
37,2378.8,0.99519,1.10702,0.99863,1.08,0.67583,0.84853,0.8867,0.69979,0.67362,0.85132,0.87942,0.55441,0.98807,1.50261,0.99335,0.88481,0.008218,0.008218,0.008218
38,2440.34,1.0259,1.09245,1.03795,1.1034,0.73192,0.92941,0.92283,0.7601,0.82985,0.78164,0.9028,0.57444,1.1087,1.67332,1.04203,0.87088,0.0081685,0.0081685,0.0081685
39,2501.95,1.00378,1.10699,0.98364,1.07575,0.81473,0.76275,0.90551,0.70527,0.81473,0.76275,0.90125,0.54885,1.16947,1.50571,0.88099,0.89298,0.008119,0.008119,0.008119
40,2563.44,0.98701,1.0848,0.98478,1.07732,0.83362,0.76773,0.90794,0.73696,0.81441,0.75227,0.87972,0.55533,1.1183,1.5028,0.86354,0.90692,0.0080695,0.0080695,0.0080695
41,2624.91,0.97442,1.07405,0.9316,1.08246,0.95429,0.76143,0.91651,0.72063,0.88477,0.73449,0.88433,0.59769,1.00919,1.38998,0.79822,0.88774,0.00802,0.00802,0.00802
42,2686.4,0.97804,1.08565,0.9432,1.07923,0.80876,0.74862,0.90785,0.74115,0.80876,0.74862,0.91041,0.60072,0.97031,1.57226,0.81033,0.86052,0.0079705,0.0079705,0.0079705
43,2748.04,0.95416,1.0958,0.93483,1.07132,0.83672,0.7857,0.92115,0.7207,0.87797,0.71483,0.88266,0.61289,1.05578,1.46831,0.80603,0.87917,0.007921,0.007921,0.007921
44,2809.52,0.96995,1.05897,0.94603,1.07947,0.93346,0.79702,0.9097,0.71275,0.93346,0.79702,0.91116,0.5677,1.11444,1.62041,0.9259,0.91548,0.0078715,0.0078715,0.0078715
45,2870.99,0.95351,1.05955,0.93571,1.06476,0.77006,0.86949,0.92249,0.70468,0.7726,0.85362,0.89408,0.58434,1.07399,1.49022,0.81238,0.89866,0.007822,0.007822,0.007822
46,2932.46,0.9573,1.06697,0.92646,1.06996,0.8251,0.80423,0.92875,0.71354,0.74814,0.78697,0.88303,0.56202,1.10268,1.54329,0.81534,0.89057,0.0077725,0.0077725,0.0077725
47,2993.92,0.96754,1.02244,0.93103,1.07555,0.82471,0.89482,0.93199,0.71512,0.80366,0.88294,0.89744,0.59248,1.04492,1.39114,0.78679,0.89361,0.007723,0.007723,0.007723
48,3055.39,0.9627,1.06511,0.92958,1.06236,0.82147,0.81087,0.89464,0.73344,0.8028,0.795,0.87491,0.55272,1.04007,1.55766,0.85944,0.85786,0.0076735,0.0076735,0.0076735
49,3117,0.93601,1.03572,0.90544,1.05989,0.82997,0.90552,0.90907,0.72769,0.79716,0.87555,0.88512,0.55812,1.02874,1.41865,0.76283,0.87608,0.007624,0.007624,0.007624
50,3178.54,0.93855,1.05162,0.91199,1.06793,0.85186,0.81354,0.92341,0.72731,0.83042,0.79853,0.89833,0.59627,0.98119,1.27139,0.77012,0.85503,0.0075745,0.0075745,0.0075745
51,3240.06,0.94888,1.0621,0.9366,1.06498,0.82858,0.89371,0.94191,0.75953,0.81027,0.86617,0.92358,0.61348,1.02647,1.47125,0.77701,0.88555,0.007525,0.007525,0.007525
52,3301.66,0.93149,1.04103,0.92539,1.06945,0.76677,0.83225,0.88263,0.73165,0.75153,0.81638,0.86471,0.59341,1.12631,1.65227,0.80666,0.89251,0.0074755,0.0074755,0.0074755
53,3363.16,0.92588,1.04188,0.91132,1.06012,0.85631,0.80317,0.93,0.73331,0.7999,0.7574,0.86105,0.5614,1.07534,1.39326,0.75878,0.88618,0.007426,0.007426,0.007426
