epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3166.29,1.02436,1.03821,1.10105,0.82548,0.75955,0.88885,0.69289,0.93708,1.18915,0.90798,0.007921,0.007921,0.007921
44,3237.54,1.04774,1.08061,1.12528,0.89789,0.72351,0.88577,0.70218,0.90569,0.83244,0.87235,0.0078715,0.0078715,0.0078715
45,3308.75,1.03736,1.06617,1.10749,0.78709,0.81587,0.88974,0.69665,0.98272,0.85265,0.89644,0.007822,0.007822,0.007822
46,3379.91,1.01529,1.00348,1.10561,0.74858,0.84921,0.88903,0.67367,1.05432,0.8643,0.91038,0.0077725,0.0077725,0.0077725
47,3451.1,0.99987,1.00122,1.09177,0.89502,0.83151,0.90394,0.69726,1.03013,0.86078,0.88329,0.007723,0.007723,0.007723
48,3522.26,1.00984,0.99214,1.08467,0.77665,0.82384,0.89977,0.72597,1.01253,0.92951,0.86659,0.0076735,0.0076735,0.0076735
49,3593.65,1.00398,1.02538,1.08863,0.78519,0.84605,0.92476,0.71039,1.02091,0.8203,0.86615,0.007624,0.007624,0.007624
50,3664.81,0.98621,0.99791,1.08894,0.73369,0.87006,0.81643,0.62192,1.04508,0.86237,0.87011,0.0075745,0.0075745,0.0075745
51,3735.97,1.00097,0.98937,1.08738,0.80821,0.89418,0.92714,0.72774,1.09354,0.83369,0.89539,0.007525,0.007525,0.007525
52,3807.35,0.9841,0.9733,1.09059,0.80768,0.87783,0.92237,0.71824,1.06443,0.83262,0.88721,0.0074755,0.0074755,0.0074755
53,3878.5,0.97564,1.00838,1.07606,0.79783,0.90915,0.91916,0.70115,1.06258,0.81484,0.88919,0.007426,0.007426,0.007426
54,3949.83,0.98024,1.01309,1.08575,0.75812,0.86841,0.90858,0.70483,1.08064,0.82282,0.90162,0.0073765,0.0073765,0.0073765
55,4021.12,0.97105,0.96814,1.08582,0.85055,0.77826,0.88355,0.68298,1.12421,0.82784,0.89956,0.007327,0.007327,0.007327
56,4092.4,0.9829,0.97524,1.09366,0.8926,0.71958,0.88185,0.71508,0.95902,0.84867,0.89595,0.0072775,0.0072775,0.0072775
57,4163.66,0.94533,0.9337,1.07894,0.73961,0.8952,0.89762,0.70706,0.91394,0.82476,0.87146,0.007228,0.007228,0.007228
58,4234.93,0.96999,1.00909,1.07664,0.80702,0.87305,0.90693,0.72411,1.06098,0.85471,0.87224,0.0071785,0.0071785,0.0071785
59,4306.24,0.97756,0.96568,1.09591,0.74001,0.87566,0.90018,0.71369,0.91114,0.8022,0.86679,0.007129,0.007129,0.007129
60,4377.54,0.98508,0.99971,1.08864,0.91434,0.82187,0.89462,0.72904,1.02039,0.83705,0.86185,0.0070795,0.0070795,0.0070795
61,4448.83,0.94035,0.95193,1.06863,0.72651,0.85809,0.89401,0.76726,0.94264,0.76493,0.86955,0.00703,0.00703,0.00703
62,4520.33,0.96448,1.0066,1.0746,0.81016,0.84076,0.92339,0.74943,1.02582,0.78808,0.85141,0.0069805,0.0069805,0.0069805
63,4591.64,0.93319,0.94723,1.07272,0.83868,0.82885,0.92217,0.73027,1.0172,0.74428,0.85819,0.006931,0.006931,0.006931
64,4662.94,0.9461,0.9303,1.07295,0.82431,0.84449,0.93028,0.7358,0.89572,0.7235,0.87507,0.0068815,0.0068815,0.0068815
65,4734.15,0.9413,0.93425,1.0698,0.80598,0.85714,0.93359,0.73759,0.94791,0.73765,0.85263,0.006832,0.006832,0.006832
66,4805.34,0.96505,0.96194,1.07312,0.81276,0.86408,0.9217,0.71253,1.12897,0.83201,0.88146,0.0067825,0.0067825,0.0067825
67,4876.55,0.94913,0.95677,1.06322,0.80342,0.93207,0.93793,0.75108,0.91197,0.71758,0.87226,0.006733,0.006733,0.006733
68,4947.7,0.931,0.9326,1.07317,0.79145,0.91642,0.92398,0.75315,0.85586,0.77214,0.85465,0.0066835,0.0066835,0.0066835
69,5018.9,0.93902,0.9183,1.0555,0.76894,0.819,0.89077,0.70463,1.08299,0.767,0.86728,0.006634,0.006634,0.006634
70,5090.11,0.94526,0.91758,1.06878,0.83883,0.77681,0.84612,0.69155,0.90021,0.8593,0.85579,0.0065845,0.0065845,0.0065845
71,5161.42,0.93603,0.92743,1.07446,0.92443,0.78131,0.90039,0.72937,0.92787,1.08719,0.87034,0.006535,0.006535,0.006535
